Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	93.85     	31.85     	43.53     	4.47      
0.50      	92.66     	31.20     	43.18     	4.47      
1.00      	91.59     	30.77     	42.90     	4.47      
1.50      	90.62     	30.52     	42.78     	4.47      
2.00      	88.84     	30.52     	42.58     	4.47      
2.50      	86.51     	30.69     	42.39     	4.47      
3.00      	85.87     	30.80     	42.71     	4.47      
3.50      	85.87     	30.90     	43.08     	4.47      
4.00      	88.08     	32.74     	43.75     	4.47      
4.50      	90.64     	34.85     	44.10     	4.47      
5.00      	91.91     	35.50     	43.85     	4.47      
5.50      	93.09     	36.02     	43.58     	4.47      
6.00      	93.42     	35.35     	43.25     	4.47      
6.50      	93.72     	34.78     	43.12     	4.47      
7.00      	93.82     	34.70     	43.09     	4.47      
7.50      	93.91     	34.70     	43.14     	4.46      
8.00      	93.96     	35.01     	43.20     	4.46      
8.50      	93.93     	35.32     	43.23     	4.46      
9.00      	93.62     	35.63     	43.19     	4.46      
9.50      	93.68     	36.06     	43.25     	4.46      
10.00     	95.20     	36.95     	43.57     	4.46      
10.50     	96.52     	37.39     	43.69     	4.46      
11.00     	97.14     	36.15     	43.54     	4.46      
11.50     	96.44     	35.37     	43.13     	4.46      
12.00     	92.15     	35.85     	42.20     	4.46      
12.50     	89.82     	36.39     	42.14     	4.46      
13.00     	90.82     	37.05     	42.95     	4.46      
13.50     	91.01     	37.48     	43.29     	4.47      
14.00     	90.09     	37.61     	43.12     	4.48      
14.50     	89.70     	37.84     	43.00     	4.49      
15.00     	89.78     	38.14     	42.99     	4.50      
15.50     	91.36     	39.21     	43.29     	4.51      
16.00     	93.62     	40.62     	43.56     	4.52      
16.50     	94.92     	40.67     	43.43     	4.54      
17.00     	96.02     	40.41     	43.23     	4.55      
17.50     	96.02     	40.21     	42.88     	4.56      
18.00     	95.88     	40.02     	42.69     	4.57      
18.50     	95.42     	39.16     	42.59     	4.58      
19.00     	94.94     	38.25     	42.59     	4.59      
19.50     	94.05     	38.29     	42.57     	4.60      
20.00     	93.14     	38.38     	42.58     	4.61      
20.50     	92.28     	38.30     	42.61     	4.63      
21.00     	91.43     	38.22     	42.64     	4.64      
21.50     	90.71     	38.06     	42.69     	4.65      
22.00     	90.00     	37.90     	42.71     	4.66      
22.50     	89.44     	37.75     	42.75     	4.67      
23.00     	88.90     	37.61     	42.76     	4.68      
23.50     	88.79     	37.65     	42.84     	4.69      
24.00     	88.73     	37.71     	42.88     	4.71      
24.50     	89.37     	37.57     	43.02     	4.72      
25.00     	90.08     	37.40     	43.08     	4.73      
25.50     	90.52     	36.96     	43.00     	4.74      
26.00     	90.94     	36.49     	42.91     	4.75      
26.50     	90.75     	35.64     	42.71     	4.76      
27.00     	90.54     	34.78     	42.58     	4.77      
27.50     	90.96     	34.87     	42.66     	4.78      
28.00     	91.46     	35.05     	42.75     	4.80      
28.50     	92.84     	36.15     	42.96     	4.80      
29.00     	94.18     	37.18     	43.04     	4.79      
29.50     	95.16     	37.54     	42.96     	4.78      
30.00     	96.13     	37.88     	42.89     	4.78      
30.50     	96.84     	37.77     	42.81     	4.77      
31.00     	97.54     	37.67     	42.79     	4.77      
31.50     	97.39     	37.57     	42.67     	4.76      
32.00     	97.22     	37.46     	42.64     	4.75      
32.50     	95.95     	37.33     	42.48     	4.75      
33.00     	94.58     	37.20     	42.44     	4.74      
33.50     	93.34     	36.99     	42.52     	4.74      
34.00     	92.11     	36.77     	42.64     	4.73      
34.50     	90.96     	36.60     	42.78     	4.72      
35.00     	89.83     	36.44     	42.89     	4.72      
35.50     	89.10     	36.39     	43.05     	4.71      
36.00     	88.51     	36.39     	43.19     	4.71      
36.50     	88.03     	36.80     	43.30     	4.70      
37.00     	87.59     	37.40     	43.37     	4.69      
37.50     	87.44     	38.03     	43.47     	4.69      
38.00     	87.43     	38.69     	43.57     	4.68      
38.50     	88.92     	40.19     	43.95     	4.66      
39.00     	90.83     	41.92     	44.23     	4.64      
39.50     	91.79     	42.44     	44.11     	4.62      
40.00     	92.53     	42.66     	43.92     	4.60      
40.50     	92.40     	42.30     	43.61     	4.58      
41.00     	91.97     	41.74     	43.40     	4.56      
41.50     	91.52     	41.29     	43.33     	4.54      
42.00     	91.06     	40.89     	43.32     	4.53      
42.50     	90.69     	40.77     	43.35     	4.51      
43.00     	90.37     	40.83     	43.35     	4.49      
43.50     	90.09     	40.89     	43.33     	4.47      
