Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	87.35     	42.63     	49.80     	4.70      
0.50      	86.23     	41.68     	48.48     	4.88      
1.00      	85.34     	41.21     	47.70     	4.99      
1.50      	85.98     	42.04     	48.44     	5.03      
2.00      	87.45     	43.65     	49.90     	5.01      
2.50      	88.28     	44.83     	50.94     	4.95      
3.00      	88.19     	44.81     	51.28     	4.85      
3.50      	88.03     	43.96     	51.04     	4.73      
4.00      	88.36     	43.37     	50.55     	4.58      
4.50      	89.26     	43.77     	50.66     	4.43      
5.00      	90.27     	44.81     	51.56     	4.28      
5.50      	90.53     	45.47     	52.20     	4.14      
6.00      	90.10     	45.37     	52.05     	4.02      
6.50      	89.82     	45.12     	51.98     	3.94      
7.00      	90.22     	45.11     	52.60     	3.89      
7.50      	90.68     	45.21     	53.23     	3.89      
8.00      	90.58     	45.39     	53.18     	3.95      
8.50      	89.80     	45.61     	52.59     	4.06      
9.00      	88.83     	45.90     	52.15     	4.21      
9.50      	88.30     	45.99     	52.04     	4.37      
10.00     	88.67     	45.86     	52.20     	4.51      
10.50     	89.39     	45.97     	52.50     	4.60      
11.00     	89.67     	46.46     	52.67     	4.62      
11.50     	89.44     	46.78     	52.48     	4.58      
12.00     	89.11     	46.51     	52.17     	4.48      
12.50     	88.86     	45.99     	51.99     	4.37      
13.00     	88.92     	46.02     	51.84     	4.27      
13.50     	89.33     	46.75     	51.75     	4.19      
14.00     	89.30     	47.30     	51.62     	4.18      
14.50     	88.67     	47.44     	51.44     	4.21      
15.00     	88.04     	47.56     	51.26     	4.28      
15.50     	88.17     	47.98     	51.29     	4.36      
16.00     	88.75     	48.13     	51.52     	4.44      
16.50     	89.36     	47.96     	52.05     	4.50      
17.00     	89.85     	48.23     	52.90     	4.51      
17.50     	90.03     	48.99     	53.65     	4.48      
18.00     	89.89     	49.16     	53.81     	4.42      
18.50     	90.15     	48.51     	53.64     	4.36      
19.00     	91.08     	48.14     	53.65     	4.30      
19.50     	91.66     	48.19     	53.44     	4.25      
20.00     	91.39     	47.66     	52.77     	4.24      
20.50     	90.79     	46.17     	52.04     	4.24      
21.00     	90.46     	44.73     	51.60     	4.26      
21.50     	90.57     	44.54     	51.54     	4.28      
22.00     	90.92     	45.26     	51.50     	4.31      
22.50     	90.80     	45.36     	50.73     	4.33      
23.00     	90.11     	44.33     	49.45     	4.34      
23.50     	89.43     	42.80     	48.37     	4.34      
24.00     	89.47     	42.00     	47.97     	4.33      
24.50     	89.67     	42.06     	47.79     	4.32      
25.00     	89.48     	42.22     	47.50     	4.30      
25.50     	89.08     	42.01     	47.27     	4.27      
26.00     	88.50     	41.62     	47.18     	4.24      
26.50     	87.87     	41.54     	47.17     	4.20      
27.00     	87.25     	42.02     	47.11     	4.17      
27.50     	86.88     	42.90     	47.01     	4.13      
28.00     	86.61     	43.34     	46.55     	4.08      
28.50     	86.48     	42.74     	45.66     	4.04      
29.00     	87.36     	41.93     	45.20     	4.00      
29.50     	88.98     	41.49     	45.52     	3.97      
30.00     	90.03     	41.19     	46.13     	3.94      
30.50     	90.02     	41.16     	46.11     	3.93      
31.00     	89.63     	41.47     	45.17     	3.92      
31.50     	89.19     	41.41     	43.71     	3.94      
32.00     	88.67     	40.78     	42.58     	3.97      
32.50     	87.74     	39.67     	41.92     	4.02      
33.00     	86.41     	38.30     	41.39     	4.10      
33.50     	85.00     	36.99     	41.03     	4.20      
34.00     	83.72     	36.12     	40.92     	4.30      
34.50     	83.00     	36.31     	41.09     	4.41      
35.00     	83.33     	37.42     	41.87     	4.51      
35.50     	84.25     	38.58     	42.98     	4.59      
36.00     	84.90     	39.34     	43.66     	4.65      
36.50     	85.29     	39.90     	43.84     	4.69      
37.00     	85.50     	39.81     	43.49     	4.70      
37.50     	85.55     	38.98     	42.83     	4.71      
38.00     	85.51     	37.99     	42.22     	4.69      
38.50     	85.65     	37.44     	41.60     	4.67      
39.00     	86.26     	37.46     	40.68     	4.65      
39.50     	87.26     	37.54     	39.91     	4.62      
40.00     	88.94     	37.89     	40.47     	4.60      
40.50     	91.02     	38.83     	41.95     	4.59      
41.00     	92.29     	39.30     	42.59     	4.57      
41.50     	92.64     	38.68     	42.10     	4.57      
42.00     	93.00     	37.84     	41.40     	4.57      
42.50     	93.33     	37.23     	40.69     	4.57      
43.00     	93.42     	36.51     	39.82     	4.58      
43.50     	93.39     	35.53     	39.02     	4.60      
44.00     	93.14     	34.62     	38.38     	4.63      
44.50     	92.80     	34.30     	38.07     	4.66      
45.00     	92.74     	34.81     	38.47     	4.70      
45.50     	93.08     	35.85     	39.51     	4.74      
46.00     	93.21     	36.63     	40.43     	4.78      
46.50     	92.67     	36.46     	40.39     	4.83      
47.00     	91.94     	35.58     	39.45     	4.87      
47.50     	91.88     	34.96     	38.65     	4.91      
48.00     	92.34     	35.15     	38.76     	4.95      
48.50     	92.94     	36.21     	39.96     	4.97      
49.00     	93.44     	37.34     	41.43     	5.00      
49.50     	93.96     	37.34     	41.92     	5.01      
50.00     	94.38     	36.29     	41.46     	5.01      
50.50     	94.36     	35.35     	40.93     	5.01      
51.00     	94.14     	35.27     	40.98     	4.99      
51.50     	94.23     	35.84     	41.64     	4.97      
52.00     	94.78     	36.81     	42.69     	4.94      
52.50     	95.59     	37.96     	43.94     	4.91      
53.00     	95.98     	38.68     	44.71     	4.88      
53.50     	95.61     	38.65     	44.54     	4.84      
54.00     	94.92     	38.37     	43.79     	4.81      
54.50     	94.39     	38.38     	43.17     	4.78      
55.00     	94.06     	38.59     	43.14     	4.76      
55.50     	93.70     	38.88     	43.61     	4.75      
56.00     	93.20     	39.19     	44.14     	4.74      
56.50     	92.63     	39.22     	44.32     	4.75      
57.00     	92.31     	39.14     	44.29     	4.76      
57.50     	92.80     	39.74     	44.75     	4.78      
58.00     	93.82     	41.03     	45.70     	4.81      
58.50     	94.23     	41.84     	46.20     	4.84      
59.00     	93.84     	41.66     	46.05     	4.86      
59.50     	93.25     	41.10     	45.87     	4.89      
60.00     	92.97     	41.03     	46.11     	4.92      
60.50     	93.21     	41.80     	46.81     	4.93      
61.00     	93.42     	42.68     	47.50     	4.94      
61.50     	93.28     	43.24     	47.97     	4.95      
62.00     	93.09     	43.62     	48.44     	4.94      
62.50     	92.83     	43.53     	48.93     	4.92      
63.00     	92.59     	43.16     	49.21     	4.91      
63.50     	92.84     	43.65     	49.45     	4.89      
64.00     	93.55     	45.03     	50.01     	4.88      
64.50     	94.14     	46.24     	50.82     	4.88      
65.00     	94.20     	46.76     	51.50     	4.89      
65.50     	93.61     	46.34     	51.73     	4.91      
66.00     	92.89     	45.30     	51.53     	4.93      
66.50     	92.69     	44.44     	51.12     	4.96      
67.00     	92.85     	44.06     	50.80     	4.98      
67.50     	93.09     	44.18     	51.11     	4.99      
68.00     	93.51     	45.21     	52.00     	4.98      
68.50     	93.64     	46.42     	52.67     	4.96      
69.00     	93.31     	46.82     	52.94     	4.93      
69.50     	93.08     	45.93     	53.03     	4.89      
70.00     	93.33     	44.13     	52.95     	4.85      
70.50     	93.66     	43.34     	52.80     	4.81      
71.00     	93.66     	43.94     	52.83     	4.78      
71.50     	93.04     	43.79     	52.73     	4.76      
72.00     	91.97     	42.87     	52.26     	4.75      
72.50     	91.03     	42.55     	51.66     	4.74      
73.00     	90.83     	42.95     	51.36     	4.74      
73.50     	91.07     	43.68     	51.36     	4.73      
74.00     	91.20     	44.42     	51.51     	4.71      
74.50     	91.01     	44.53     	51.62     	4.69      
75.00     	90.51     	43.76     	51.43     	4.66      
