Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	70.93     	68.39     	52.47     	5.04      
0.50      	70.93     	68.39     	52.47     	5.04      
1.00      	70.93     	68.39     	52.47     	5.04      
1.50      	70.93     	68.39     	52.47     	5.04      
2.00      	68.21     	67.01     	51.43     	5.04      
2.50      	66.92     	66.96     	51.69     	5.04      
3.00      	68.05     	68.36     	53.21     	5.04      
3.50      	69.24     	69.29     	54.31     	5.04      
4.00      	69.75     	69.07     	54.44     	5.04      
4.50      	69.96     	67.96     	53.88     	5.04      
5.00      	70.13     	66.34     	53.03     	5.04      
5.50      	70.28     	64.83     	52.34     	5.04      
6.00      	70.34     	63.82     	52.10     	5.04      
6.50      	70.02     	62.96     	51.71     	5.04      
7.00      	69.06     	61.83     	50.51     	5.03      
7.50      	67.98     	61.36     	49.35     	5.03      
8.00      	67.61     	62.98     	49.65     	5.03      
8.50      	68.04     	65.80     	51.14     	5.03      
9.00      	68.89     	67.56     	52.51     	5.02      
9.50      	69.82     	67.74     	53.16     	5.02      
10.00     	70.57     	67.43     	53.15     	5.02      
10.50     	70.96     	67.31     	52.63     	5.01      
11.00     	71.05     	67.16     	52.02     	5.01      
11.50     	70.89     	66.69     	51.66     	5.01      
12.00     	70.50     	66.03     	51.38     	5.01      
12.50     	69.90     	65.45     	50.88     	5.01      
13.00     	69.06     	64.99     	50.18     	5.01      
13.50     	67.94     	64.47     	49.68     	5.01      
14.00     	66.82     	64.07     	49.67     	5.01      
14.50     	66.51     	64.43     	50.31     	5.01      
15.00     	67.31     	65.64     	51.48     	5.02      
15.50     	68.38     	66.45     	52.47     	5.02      
16.00     	68.90     	65.82     	52.70     	5.03      
16.50     	69.09     	64.64     	52.54     	5.04      
17.00     	69.38     	64.25     	52.60     	5.05      
17.50     	69.84     	64.76     	52.98     	5.06      
18.00     	70.25     	65.51     	53.38     	5.07      
18.50     	70.41     	65.93     	53.54     	5.08      
19.00     	70.08     	65.67     	53.15     	5.09      
19.50     	69.27     	64.69     	52.19     	5.10      
20.00     	68.64     	63.83     	51.41     	5.11      
20.50     	68.73     	63.78     	51.40     	5.12      
21.00     	69.17     	64.26     	51.81     	5.12      
21.50     	69.50     	64.78     	52.08     	5.12      
22.00     	69.62     	65.10     	51.96     	5.12      
22.50     	69.60     	65.05     	51.35     	5.12      
23.00     	69.52     	64.79     	50.46     	5.11      
23.50     	69.45     	64.70     	49.85     	5.11      
24.00     	69.28     	64.69     	49.62     	5.10      
24.50     	68.53     	63.80     	49.11     	5.10      
25.00     	66.98     	61.57     	47.92     	5.09      
