Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	121.61    	49.66     	43.24     	4.71      
0.50      	122.94    	50.58     	44.06     	4.61      
1.00      	123.12    	50.73     	44.38     	4.54      
1.50      	120.17    	48.97     	43.20     	4.50      
2.00      	116.68    	46.90     	41.38     	4.49      
2.50      	116.08    	46.59     	40.73     	4.49      
3.00      	118.31    	47.79     	41.67     	4.50      
3.50      	121.15    	49.41     	43.32     	4.53      
4.00      	122.47    	50.25     	44.31     	4.57      
4.50      	122.05    	50.20     	44.40     	4.61      
5.00      	120.70    	49.23     	43.79     	4.65      
5.50      	118.81    	47.84     	42.69     	4.68      
6.00      	118.57    	47.61     	42.37     	4.71      
6.50      	119.79    	48.36     	43.12     	4.72      
7.00      	121.04    	48.79     	43.85     	4.72      
7.50      	121.50    	48.49     	43.73     	4.70      
8.00      	121.74    	48.36     	43.22     	4.67      
8.50      	120.78    	48.43     	42.45     	4.64      
9.00      	119.76    	48.69     	42.48     	4.60      
9.50      	117.67    	47.77     	42.47     	4.56      
10.00     	117.10    	47.34     	42.66     	4.53      
10.50     	118.31    	48.06     	42.80     	4.52      
11.00     	120.32    	49.00     	42.90     	4.52      
11.50     	120.45    	48.31     	42.34     	4.53      
12.00     	119.97    	47.52     	42.41     	4.55      
12.50     	117.83    	46.70     	42.30     	4.58      
13.00     	116.69    	46.91     	42.21     	4.61      
13.50     	116.96    	47.01     	41.74     	4.64      
14.00     	117.83    	46.76     	41.47     	4.66      
14.50     	118.17    	46.58     	41.46     	4.68      
15.00     	119.29    	47.42     	42.22     	4.68      
15.50     	119.34    	47.51     	42.32     	4.68      
16.00     	118.59    	47.31     	41.83     	4.68      
16.50     	117.16    	47.02     	40.89     	4.67      
17.00     	115.80    	46.93     	40.29     	4.67      
17.50     	116.45    	47.38     	40.57     	4.66      
18.00     	118.92    	48.24     	41.27     	4.66      
18.50     	120.41    	48.45     	41.21     	4.66      
19.00     	120.44    	48.40     	41.02     	4.66      
19.50     	119.28    	47.99     	41.13     	4.67      
20.00     	117.90    	47.42     	41.39     	4.68      
20.50     	118.66    	47.67     	41.78     	4.68      
21.00     	120.64    	48.40     	41.81     	4.69      
21.50     	122.09    	48.72     	41.70     	4.69      
22.00     	122.92    	48.72     	41.96     	4.70      
22.50     	123.24    	48.45     	41.98     	4.70      
23.00     	122.39    	47.93     	41.62     	4.70      
23.50     	121.35    	47.73     	41.47     	4.70      
24.00     	119.80    	47.26     	40.94     	4.70      
24.50     	119.68    	47.13     	40.57     	4.70      
25.00     	120.69    	47.59     	40.86     	4.71      
25.50     	121.66    	48.08     	41.58     	4.72      
26.00     	120.75    	47.39     	41.33     	4.73      
26.50     	119.44    	46.63     	40.84     	4.75      
27.00     	116.71    	45.78     	40.26     	4.77      
27.50     	115.34    	46.11     	40.76     	4.78      
28.00     	115.38    	46.50     	41.30     	4.79      
28.50     	116.29    	46.58     	41.29     	4.81      
29.00     	116.78    	46.51     	40.64     	4.81      
29.50     	118.10    	47.48     	40.93     	4.81      
30.00     	118.13    	47.63     	41.34     	4.81      
30.50     	117.37    	47.26     	41.77     	4.80      
31.00     	115.58    	46.38     	41.46     	4.78      
31.50     	114.56    	46.24     	40.91     	4.76      
32.00     	115.26    	46.83     	40.58     	4.72      
32.50     	117.19    	47.72     	41.25     	4.68      
33.00     	118.16    	47.99     	42.40     	4.64      
33.50     	118.68    	48.23     	43.62     	4.59      
34.00     	117.93    	47.80     	43.55     	4.54      
34.50     	116.90    	47.56     	43.20     	4.50      
35.00     	116.73    	47.65     	43.34     	4.47      
35.50     	117.07    	47.62     	43.44     	4.45      
36.00     	118.17    	47.75     	43.40     	4.46      
36.50     	120.48    	48.84     	44.12     	4.49      
37.00     	122.58    	50.04     	45.27     	4.54      
37.50     	122.96    	50.50     	45.90     	4.60      
38.00     	122.17    	50.22     	45.67     	4.67      
38.50     	120.20    	49.12     	44.48     	4.73      
39.00     	120.18    	48.66     	43.98     	4.79      
39.50     	121.47    	48.59     	44.06     	4.84      
40.00     	122.84    	48.73     	44.58     	4.86      
40.50     	123.04    	48.52     	44.95     	4.86      
41.00     	122.91    	48.60     	44.98     	4.84      
41.50     	120.95    	48.53     	44.19     	4.82      
42.00     	119.73    	49.14     	44.38     	4.78      
42.50     	118.26    	48.65     	44.34     	4.75      
43.00     	117.99    	47.90     	44.09     	4.73      
43.50     	119.65    	48.02     	44.06     	4.71      
44.00     	122.27    	49.07     	44.51     	4.72      
44.50     	122.51    	49.15     	44.20     	4.73      
45.00     	121.64    	48.97     	44.22     	4.75      
45.50     	119.40    	48.28     	44.24     	4.78      
46.00     	117.95    	48.23     	44.23     	4.80      
46.50     	118.21    	48.44     	43.75     	4.82      
47.00     	119.72    	48.59     	43.45     	4.83      
47.50     	121.12    	48.73     	43.66     	4.82      
48.00     	122.64    	49.65     	44.82     	4.79      
48.50     	122.01    	49.94     	45.37     	4.75      
49.00     	120.01    	49.72     	45.21     	4.71      
49.50     	117.41    	48.56     	44.11     	4.66      
50.00     	116.33    	47.63     	43.49     	4.63      
50.50     	118.08    	48.02     	44.35     	4.60      
51.00     	121.00    	49.26     	45.70     	4.58      
51.50     	122.21    	49.51     	45.85     	4.58      
52.00     	122.95    	49.37     	45.72     	4.59      
52.50     	122.37    	48.71     	45.06     	4.61      
53.00     	121.17    	48.35     	44.57     	4.63      
53.50     	119.44    	47.70     	43.88     	4.66      
54.00     	118.65    	47.08     	43.35     	4.67      
54.50     	119.73    	47.10     	43.37     	4.68      
55.00     	121.98    	48.06     	43.92     	4.68      
55.50     	122.48    	48.20     	43.77     	4.67      
56.00     	122.13    	47.73     	43.43     	4.65      
56.50     	120.78    	46.70     	42.84     	4.62      
57.00     	119.28    	46.12     	42.52     	4.60      
57.50     	116.90    	45.22     	41.59     	4.57      
58.00     	114.61    	44.18     	40.22     	4.54      
58.50     	114.34    	43.91     	39.53     	4.52      
59.00     	116.03    	44.88     	40.15     	4.50      
59.50     	117.50    	45.80     	40.77     	4.49      
60.00     	117.42    	45.79     	40.30     	4.49      
60.50     	116.31    	45.02     	39.54     	4.49      
61.00     	114.19    	44.03     	39.12     	4.50      
61.50     	113.27    	43.95     	39.10     	4.51      
62.00     	112.85    	43.77     	38.49     	4.53      
62.50     	113.37    	43.75     	38.33     	4.56      
63.00     	114.52    	44.27     	39.22     	4.59      
63.50     	116.44    	45.49     	40.52     	4.62      
64.00     	116.68    	45.77     	40.28     	4.66      
64.50     	116.39    	45.84     	39.92     	4.69      
65.00     	114.75    	45.03     	39.56     	4.72      
65.50     	114.37    	44.60     	39.85     	4.74      
66.00     	115.42    	44.91     	40.09     	4.75      
66.50     	117.36    	46.23     	40.30     	4.74      
67.00     	118.01    	46.74     	39.87     	4.73      
67.50     	118.53    	46.81     	39.68     	4.70      
68.00     	118.27    	46.37     	39.62     	4.66      
68.50     	117.63    	46.31     	40.01     	4.62      
69.00     	117.01    	46.24     	40.25     	4.59      
69.50     	115.92    	45.47     	39.53     	4.56      
70.00     	115.60    	44.77     	38.81     	4.55      
70.50     	116.39    	45.14     	39.40     	4.54      
71.00     	118.20    	46.53     	41.08     	4.56      
71.50     	117.73    	46.53     	41.38     	4.58      
72.00     	117.36    	46.44     	41.59     	4.62      
72.50     	115.51    	45.65     	41.45     	4.66      
73.00     	114.35    	45.84     	41.87     	4.71      
73.50     	114.02    	46.03     	41.95     	4.76      
74.00     	113.20    	45.20     	41.22     	4.81      
74.50     	113.73    	45.06     	40.89     	4.85      
75.00     	116.39    	46.85     	41.80     	4.90      
75.50     	119.75    	49.06     	43.49     	4.93      
76.00     	120.38    	49.04     	44.05     	4.96      
76.50     	120.17    	48.42     	44.17     	4.98      
77.00     	118.04    	47.26     	43.31     	5.00      
77.50     	117.45    	47.41     	43.34     	5.00      
78.00     	118.31    	47.83     	43.81     	5.00      
78.50     	119.80    	48.03     	44.19     	4.98      
79.00     	120.40    	47.77     	43.91     	4.95      
79.50     	121.00    	48.40     	44.04     	4.91      
80.00     	120.34    	48.88     	44.08     	4.87      
80.50     	118.30    	48.77     	43.82     	4.83      
81.00     	117.17    	48.68     	43.89     	4.79      
81.50     	116.22    	48.11     	43.69     	4.76      
82.00     	116.54    	47.95     	43.83     	4.74      
82.50     	118.23    	48.72     	44.60     	4.74      
83.00     	120.18    	49.76     	45.41     	4.74      
83.50     	119.72    	49.57     	45.24     	4.76      
84.00     	118.56    	49.10     	45.28     	4.77      
84.50     	116.35    	47.99     	44.73     	4.79      
85.00     	115.95    	47.62     	44.17     	4.81      
85.50     	117.44    	47.91     	44.00     	4.81      
86.00     	119.85    	48.73     	44.82     	4.80      
86.50     	120.26    	48.62     	45.21     	4.78      
87.00     	119.71    	48.38     	45.20     	4.75      
87.50     	117.62    	47.69     	44.34     	4.72      
88.00     	116.50    	47.38     	44.02     	4.69      
88.50     	116.70    	46.84     	44.07     	4.67      
89.00     	117.76    	46.64     	44.06     	4.66      
89.50     	118.95    	47.14     	43.54     	4.66      
90.00     	120.93    	48.48     	43.54     	4.68      
90.50     	121.83    	48.81     	43.55     	4.71      
91.00     	121.31    	48.28     	43.35     	4.75      
91.50     	119.28    	47.35     	42.61     	4.79      
92.00     	117.69    	47.19     	42.21     	4.83      
92.50     	117.83    	47.84     	42.25     	4.85      
93.00     	119.04    	48.59     	42.23     	4.87      
93.50     	119.89    	48.23     	41.78     	4.86      
94.00     	120.28    	47.53     	41.51     	4.84      
94.50     	119.58    	47.17     	41.23     	4.81      
95.00     	118.00    	47.35     	41.52     	4.78      
95.50     	117.39    	47.70     	42.50     	4.74      
96.00     	116.95    	47.14     	42.24     	4.70      
96.50     	117.18    	46.49     	40.92     	4.68      
97.00     	118.01    	46.56     	39.97     	4.66      
97.50     	119.38    	47.37     	40.19     	4.66      
98.00     	118.87    	47.33     	40.19     	4.67      
98.50     	117.82    	46.97     	39.93     	4.69      
99.00     	114.96    	45.73     	38.71     	4.72      
99.50     	113.51    	45.59     	38.58     	4.74      
100.00    	113.61    	45.70     	39.03     	4.77      
100.50    	114.43    	45.85     	39.59     	4.79      
101.00    	114.39    	45.94     	40.08     	4.81      
101.50    	114.62    	46.82     	41.03     	4.82      
102.00    	114.76    	47.25     	41.55     	4.83      
102.50    	114.24    	47.07     	41.48     	4.83      
103.00    	112.90    	46.84     	41.10     	4.83      
103.50    	110.94    	46.87     	40.75     	4.83      
104.00    	111.03    	47.58     	41.08     	4.83      
104.50    	112.82    	48.05     	41.47     	4.83      
105.00    	115.54    	48.40     	42.08     	4.84      
105.50    	116.52    	48.48     	42.06     	4.84      
106.00    	116.23    	48.87     	41.80     	4.86      
106.50    	114.73    	48.31     	41.16     	4.87      
107.00    	114.84    	47.94     	41.42     	4.89      
107.50    	113.70    	46.94     	41.17     	4.91      
108.00    	112.03    	46.85     	41.13     	4.93      
108.50    	111.32    	47.22     	41.31     	4.95      
109.00    	111.42    	47.46     	41.56     	4.97      
109.50    	112.01    	47.89     	42.03     	4.99      
110.00    	112.51    	48.25     	42.30     	5.00      
110.50    	113.01    	48.61     	42.56     	5.02      
111.00    	113.51    	48.96     	42.83     	5.03      
111.50    	114.00    	49.32     	43.09     	5.03      
112.00    	114.50    	49.68     	43.36     	5.03      
112.50    	115.00    	50.04     	43.63     	5.02      
113.00    	115.50    	50.39     	43.89     	5.00      
113.50    	116.00    	50.75     	44.16     	4.98      
114.00    	117.17    	51.46     	44.70     	4.95      
114.50    	118.55    	52.56     	45.49     	4.91      
115.00    	118.02    	52.43     	45.05     	4.88      
115.50    	117.76    	52.07     	44.70     	4.85      
116.00    	117.89    	51.72     	44.65     	4.82      
116.50    	119.08    	51.56     	44.76     	4.81      
117.00    	121.08    	51.33     	44.90     	4.81      
117.50    	122.89    	51.30     	45.08     	4.81      
118.00    	121.86    	50.88     	44.68     	4.83      
118.50    	120.04    	50.69     	44.69     	4.84      
119.00    	116.95    	49.42     	43.66     	4.86      
119.50    	115.25    	48.33     	42.38     	4.87      
120.00    	115.88    	48.17     	42.10     	4.87      
120.50    	117.68    	49.01     	43.04     	4.87      
121.00    	117.22    	48.81     	42.91     	4.85      
121.50    	115.81    	47.87     	42.04     	4.82      
122.00    	113.05    	46.16     	41.06     	4.79      
122.50    	110.87    	45.59     	41.27     	4.77      
123.00    	109.52    	45.75     	41.23     	4.74      
123.50    	109.31    	46.09     	40.53     	4.72      
124.00    	110.14    	46.61     	40.32     	4.71      
124.50    	112.02    	48.06     	41.44     	4.70      
125.00    	112.99    	48.60     	41.82     	4.71      
125.50    	113.68    	48.12     	41.23     	4.72      
126.00    	112.84    	46.85     	40.28     	4.73      
126.50    	110.61    	46.36     	40.13     	4.74      
127.00    	110.45    	46.98     	40.59     	4.75      
127.50    	113.33    	47.97     	40.94     	4.76      
128.00    	114.84    	48.12     	40.69     	4.76      
128.50    	114.73    	48.20     	40.99     	4.75      
129.00    	114.55    	48.00     	41.32     	4.74      
129.50    	114.52    	47.44     	40.87     	4.73      
130.00    	112.94    	46.13     	39.50     	4.72      
130.50    	111.05    	45.63     	39.23     	4.70      
131.00    	111.11    	46.39     	40.53     	4.69      
131.50    	112.00    	46.64     	41.05     	4.67      
132.00    	113.50    	46.39     	40.76     	4.67      
132.50    	114.88    	46.61     	41.17     	4.66      
133.00    	116.51    	47.79     	42.59     	4.65      
133.50    	115.48    	47.23     	42.28     	4.65      
134.00    	114.30    	46.20     	41.46     	4.65      
134.50    	112.11    	44.61     	40.22     	4.65      
135.00    	110.76    	43.83     	39.59     	4.65      
135.50    	111.66    	43.90     	39.57     	4.64      
136.00    	113.97    	44.31     	39.82     	4.64      
136.50    	115.60    	44.13     	39.73     	4.63      
137.00    	116.25    	43.65     	39.52     	4.62      
137.50    	116.67    	43.53     	39.48     	4.62      
138.00    	114.61    	42.98     	38.95     	4.61      
