Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	97.97     	53.86     	57.37     	4.28      
0.50      	98.09     	53.86     	57.87     	4.28      
1.00      	98.20     	53.81     	58.34     	4.28      
1.50      	98.22     	53.71     	57.42     	4.28      
2.00      	98.26     	53.61     	56.56     	4.28      
2.50      	98.73     	53.62     	56.72     	4.28      
3.00      	99.15     	53.62     	56.80     	4.28      
3.50      	99.11     	53.49     	56.22     	4.28      
4.00      	99.09     	53.37     	55.69     	4.28      
4.50      	99.07     	53.25     	55.50     	4.31      
5.00      	99.02     	53.13     	55.32     	4.33      
5.50      	98.83     	52.98     	55.13     	4.33      
6.00      	98.76     	52.87     	54.69     	4.33      
6.50      	99.09     	52.87     	53.44     	4.33      
7.00      	99.16     	52.80     	52.00     	4.32      
7.50      	98.67     	52.57     	50.13     	4.28      
8.00      	98.19     	52.35     	49.18     	4.23      
8.50      	97.72     	52.14     	49.90     	4.16      
9.00      	97.33     	51.98     	50.50     	4.11      
9.50      	97.06     	51.87     	50.87     	4.11      
10.00     	97.09     	51.85     	51.70     	4.11      
10.50     	97.52     	51.95     	53.19     	4.11      
11.00     	97.38     	51.89     	54.08     	4.12      
11.50     	96.50     	51.64     	54.19     	4.13      
12.00     	95.62     	51.41     	54.38     	4.13      
12.50     	94.74     	51.21     	54.68     	4.14      
13.00     	94.20     	51.15     	55.09     	4.14      
13.50     	94.13     	51.24     	55.65     	4.14      
14.00     	93.96     	51.34     	56.15     	4.14      
14.50     	93.67     	51.40     	56.58     	4.15      
15.00     	93.31     	51.46     	56.75     	4.17      
15.50     	92.88     	51.51     	56.53     	4.19      
16.00     	92.68     	51.63     	56.82     	4.21      
16.50     	92.92     	51.87     	58.04     	4.21      
17.00     	92.88     	52.03     	58.67     	4.20      
17.50     	92.34     	52.04     	58.25     	4.17      
18.00     	91.83     	52.06     	57.87     	4.11      
18.50     	91.40     	52.11     	57.56     	4.00      
19.00     	91.33     	52.27     	57.68     	3.92      
19.50     	92.22     	52.70     	58.90     	3.92      
20.00     	92.81     	53.02     	59.96     	3.93      
20.50     	92.59     	53.08     	60.58     	3.96      
21.00     	92.31     	53.10     	60.79     	3.98      
21.50     	91.86     	53.07     	59.64     	4.02      
22.00     	91.58     	53.08     	58.73     	4.06      
22.50     	92.10     	53.33     	58.92     	4.06      
23.00     	92.55     	53.54     	59.17     	4.06      
23.50     	92.71     	53.65     	59.70     	4.07      
24.00     	92.83     	53.72     	60.16     	4.08      
24.50     	92.70     	53.69     	60.12     	4.15      
25.00     	92.55     	53.66     	60.04     	4.22      
25.50     	92.31     	53.58     	59.55     	4.22      
26.00     	92.21     	53.55     	59.18     	4.22      
26.50     	93.64     	53.95     	59.90     	4.22      
27.00     	94.98     	54.27     	60.57     	4.21      
27.50     	95.43     	54.30     	60.66     	4.19      
28.00     	95.90     	54.29     	60.83     	4.16      
28.50     	96.66     	54.33     	61.73     	4.14      
29.00     	97.42     	54.35     	62.56     	4.13      
29.50     	98.24     	54.36     	62.83     	4.13      
30.00     	98.94     	54.32     	63.06     	4.13      
30.50     	99.09     	54.13     	63.13     	4.13      
31.00     	99.17     	53.92     	63.10     	4.13      
31.50     	99.08     	53.69     	62.90     	4.13      
32.00     	99.30     	53.56     	62.77     	4.19      
32.50     	99.81     	53.54     	62.70     	4.30      
33.00     	100.41    	53.55     	62.39     	4.34      
33.50     	101.05    	53.57     	61.98     	4.34      
34.00     	101.17    	53.44     	61.20     	4.34      
34.50     	101.12    	53.27     	60.23     	4.34      
35.00     	100.05    	52.84     	58.16     	4.34      
35.50     	99.03     	52.46     	56.52     	4.34      
36.00     	98.14     	52.16     	56.10     	4.34      
36.50     	97.33     	51.93     	55.83     	4.34      
37.00     	96.70     	51.78     	55.89     	4.34      
37.50     	95.97     	51.63     	56.12     	4.34      
38.00     	95.03     	51.46     	56.78     	4.34      
38.50     	94.37     	51.40     	57.59     	4.34      
39.00     	94.46     	51.55     	58.77     	4.34      
39.50     	94.59     	51.72     	59.60     	4.34      
40.00     	94.81     	51.91     	59.70     	4.34      
40.50     	94.83     	52.03     	59.30     	4.35      
41.00     	94.49     	52.03     	57.93     	4.37      
41.50     	94.38     	52.09     	56.69     	4.39      
42.00     	94.67     	52.27     	55.69     	4.40      
42.50     	95.11     	52.48     	54.97     	4.40      
43.00     	95.74     	52.73     	54.61     	4.40      
43.50     	96.00     	52.87     	53.90     	4.35      
44.00     	95.84     	52.88     	52.79     	4.23      
44.50     	95.56     	52.86     	52.36     	4.16      
45.00     	95.17     	52.82     	52.63     	4.12      
45.50     	95.22     	52.93     	53.30     	4.10      
46.00     	95.65     	53.16     	54.32     	4.10      
46.50     	95.52     	53.23     	54.61     	4.10      
47.00     	94.95     	53.19     	54.34     	4.09      
47.50     	94.36     	53.14     	53.62     	4.08      
48.00     	93.74     	53.11     	52.57     	4.07      
48.50     	93.70     	53.25     	52.37     	4.07      
49.00     	94.08     	53.51     	52.82     	4.07      
49.50     	94.16     	53.67     	53.09     	4.07      
50.00     	94.00     	53.74     	53.21     	4.06      
50.50     	93.86     	53.79     	53.52     	4.06      
51.00     	93.73     	53.82     	53.95     	4.06      
