Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	68.34     	46.66     	75.62     	5.36      
0.50      	69.42     	49.24     	77.84     	5.36      
1.00      	70.38     	51.67     	79.68     	5.36      
1.50      	71.23     	53.94     	81.12     	5.36      
2.00      	71.48     	54.44     	80.77     	5.36      
2.50      	71.45     	54.08     	79.56     	5.36      
3.00      	71.26     	52.36     	78.41     	5.36      
3.50      	71.08     	50.49     	77.37     	5.36      
4.00      	71.83     	52.05     	77.59     	5.36      
4.50      	72.59     	53.14     	78.12     	5.36      
5.00      	73.35     	53.25     	79.27     	5.35      
5.50      	73.62     	52.61     	79.41     	5.33      
6.00      	73.24     	51.00     	78.23     	5.32      
6.50      	72.62     	48.98     	76.61     	5.30      
7.00      	71.77     	46.61     	74.61     	5.28      
7.50      	72.26     	46.54     	74.91     	5.27      
8.00      	73.06     	46.97     	75.72     	5.25      
8.50      	73.45     	46.78     	76.17     	5.26      
9.00      	73.64     	46.44     	76.31     	5.26      
9.50      	73.02     	45.51     	75.33     	5.27      
10.00     	72.17     	44.34     	73.97     	5.28      
10.50     	70.97     	42.82     	72.06     	5.28      
11.00     	71.31     	43.44     	72.44     	5.29      
11.50     	72.23     	44.87     	73.71     	5.29      
12.00     	71.99     	45.42     	73.77     	5.29      
12.50     	71.64     	45.90     	73.73     	5.30      
13.00     	70.53     	45.96     	73.01     	5.30      
13.50     	69.46     	45.55     	72.01     	5.30      
14.00     	68.48     	44.06     	70.35     	5.30      
14.50     	69.28     	44.99     	72.00     	5.30      
15.00     	70.99     	47.22     	75.37     	5.30      
15.50     	72.16     	49.48     	77.84     	5.30      
16.00     	72.67     	50.60     	78.80     	5.30      
16.50     	72.15     	49.93     	77.37     	5.31      
17.00     	71.88     	49.80     	76.36     	5.31      
17.50     	71.81     	50.11     	75.69     	5.31      
18.00     	71.98     	49.16     	74.85     	5.31      
18.50     	72.23     	47.82     	73.94     	5.31      
19.00     	72.09     	47.06     	72.53     	5.31      
19.50     	72.46     	46.85     	72.30     	5.31      
20.00     	73.61     	47.50     	73.87     	5.31      
20.50     	73.50     	47.41     	73.69     	5.31      
21.00     	72.66     	46.88     	72.51     	5.31      
21.50     	71.61     	44.83     	70.45     	5.31      
22.00     	70.48     	42.24     	68.08     	5.31      
22.50     	69.32     	40.80     	66.30     	5.32      
23.00     	68.77     	40.27     	65.58     	5.32      
23.50     	69.63     	41.79     	67.30     	5.31      
24.00     	70.00     	43.00     	68.52     	5.29      
24.50     	69.97     	43.96     	69.33     	5.28      
25.00     	69.89     	43.90     	69.12     	5.26      
25.50     	69.79     	43.42     	68.49     	5.25      
26.00     	69.55     	42.85     	67.92     	5.23      
26.50     	69.62     	42.62     	67.86     	5.22      
27.00     	70.73     	43.47     	69.32     	5.20      
27.50     	71.22     	43.92     	69.99     	5.15      
28.00     	71.03     	43.93     	69.77     	5.10      
28.50     	70.57     	43.44     	69.24     	5.04      
29.00     	69.91     	42.59     	68.47     	4.98      
29.50     	69.25     	41.81     	67.64     	4.93      
30.00     	68.70     	41.20     	67.02     	4.87      
30.50     	69.36     	42.27     	69.20     	4.85      
31.00     	69.73     	43.18     	70.59     	4.93      
31.50     	69.25     	43.61     	69.62     	5.00      
32.00     	68.88     	44.14     	68.88     	5.08      
32.50     	68.68     	44.85     	68.49     	5.15      
33.00     	68.15     	45.41     	68.45     	5.23      
33.50     	67.37     	45.86     	68.66     	5.30      
34.00     	66.80     	46.77     	68.29     	5.37      
34.50     	66.61     	48.04     	68.75     	5.45      
35.00     	67.92     	50.48     	73.16     	5.46      
35.50     	68.62     	52.20     	75.61     	5.46      
36.00     	68.64     	53.12     	75.89     	5.46      
36.50     	68.54     	53.43     	75.80     	5.46      
37.00     	68.38     	53.46     	75.53     	5.45      
37.50     	69.49     	54.89     	78.36     	5.45      
38.00     	70.36     	56.12     	80.64     	5.45      
38.50     	69.90     	56.14     	79.81     	5.45      
39.00     	69.48     	55.99     	79.16     	5.45      
39.50     	69.14     	55.50     	78.87     	5.45      
40.00     	68.99     	55.79     	78.88     	5.44      
40.50     	69.08     	56.91     	79.23     	5.44      
41.00     	68.84     	57.44     	79.60     	5.44      
41.50     	68.46     	57.68     	79.97     	5.44      
42.00     	68.50     	58.32     	80.82     	5.44      
42.50     	68.58     	58.98     	81.70     	5.44      
43.00     	68.58     	59.06     	81.90     	5.43      
43.50     	68.51     	58.80     	81.96     	5.43      
44.00     	68.19     	57.14     	81.46     	5.43      
44.50     	67.91     	56.15     	80.91     	5.43      
45.00     	67.74     	56.31     	80.26     	5.43      
45.50     	68.73     	57.32     	82.40     	5.43      
46.00     	70.38     	58.81     	86.09     	5.42      
46.50     	70.21     	59.56     	85.69     	5.42      
47.00     	70.01     	59.87     	84.98     	5.42      
