Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	80.51     	45.68     	41.96     	6.49      
0.50      	80.15     	45.41     	41.69     	6.02      
1.00      	79.56     	44.31     	41.47     	5.79      
1.50      	78.36     	42.96     	40.63     	5.88      
2.00      	76.17     	42.10     	38.48     	5.88      
2.50      	74.66     	41.52     	37.44     	5.88      
3.00      	74.38     	41.42     	38.05     	5.88      
3.50      	74.92     	42.78     	39.25     	5.89      
4.00      	75.76     	43.85     	40.20     	5.83      
4.50      	76.20     	43.52     	40.14     	5.67      
5.00      	75.20     	42.74     	38.93     	5.61      
5.50      	73.36     	41.78     	37.20     	5.64      
6.00      	72.28     	40.83     	36.14     	5.64      
6.50      	72.01     	40.41     	36.16     	5.64      
7.00      	72.43     	40.94     	37.39     	5.64      
7.50      	73.69     	42.66     	39.23     	5.63      
8.00      	75.44     	44.84     	40.92     	5.62      
8.50      	76.94     	45.73     	41.29     	5.62      
9.00      	77.57     	45.59     	41.13     	5.62      
9.50      	76.89     	44.65     	41.06     	5.62      
10.00     	75.72     	43.79     	40.74     	5.62      
10.50     	74.95     	43.59     	40.41     	5.62      
11.00     	75.87     	44.44     	40.58     	5.62      
11.50     	77.62     	45.56     	41.46     	5.64      
12.00     	79.11     	46.18     	42.80     	5.70      
12.50     	79.89     	46.23     	43.15     	5.72      
13.00     	79.87     	45.64     	42.66     	5.71      
13.50     	79.11     	44.27     	42.01     	5.71      
14.00     	77.89     	43.27     	40.77     	5.71      
14.50     	76.95     	43.32     	39.40     	5.71      
15.00     	78.17     	43.77     	40.50     	5.72      
15.50     	79.93     	44.80     	42.56     	5.68      
16.00     	80.12     	46.26     	43.28     	5.56      
16.50     	80.08     	46.20     	42.80     	5.52      
17.00     	79.62     	44.77     	41.58     	5.54      
17.50     	77.52     	42.94     	40.41     	5.54      
18.00     	75.88     	41.98     	39.96     	5.54      
18.50     	76.13     	42.85     	40.66     	5.54      
19.00     	77.14     	44.40     	41.14     	5.56      
19.50     	78.23     	45.51     	41.53     	5.58      
20.00     	78.64     	44.87     	42.44     	5.58      
20.50     	78.34     	43.85     	42.24     	5.58      
21.00     	77.50     	43.14     	40.79     	5.58      
21.50     	76.21     	42.23     	40.03     	5.58      
22.00     	75.78     	42.12     	40.01     	5.58      
22.50     	77.42     	43.69     	40.73     	5.58      
23.00     	79.66     	45.29     	42.42     	5.59      
23.50     	81.26     	46.21     	43.93     	5.60      
24.00     	81.21     	46.07     	43.81     	5.60      
24.50     	80.35     	44.93     	42.53     	5.60      
25.00     	79.46     	43.32     	40.78     	5.60      
25.50     	79.39     	42.05     	39.51     	5.60      
26.00     	80.08     	42.23     	39.77     	5.61      
26.50     	81.26     	43.70     	41.46     	5.59      
27.00     	82.26     	44.15     	42.40     	5.46      
27.50     	82.41     	43.91     	42.22     	5.34      
28.00     	81.40     	43.43     	40.99     	5.36      
28.50     	79.45     	41.92     	39.12     	5.37      
29.00     	77.79     	40.64     	37.65     	5.36      
29.50     	78.17     	41.69     	37.95     	5.36      
30.00     	79.27     	43.19     	39.52     	5.51      
30.50     	80.50     	44.20     	41.27     	5.78      
31.00     	81.81     	44.44     	41.12     	5.81      
31.50     	81.72     	43.90     	40.59     	5.76      
32.00     	79.87     	42.88     	40.60     	5.77      
32.50     	78.13     	41.69     	39.44     	5.77      
33.00     	77.56     	41.30     	38.51     	5.77      
33.50     	78.95     	42.66     	39.54     	5.77      
34.00     	80.59     	44.48     	41.22     	5.68      
34.50     	81.54     	45.65     	42.72     	5.55      
35.00     	81.27     	45.16     	43.19     	5.55      
35.50     	80.44     	44.23     	42.14     	5.56      
36.00     	79.58     	43.54     	40.34     	5.56      
36.50     	79.05     	43.09     	40.19     	5.56      
37.00     	79.29     	43.39     	40.69     	5.56      
37.50     	80.58     	44.54     	41.35     	5.56      
38.00     	82.57     	45.39     	42.77     	5.60      
38.50     	83.92     	45.52     	43.46     	5.63      
39.00     	83.63     	44.90     	42.32     	5.63      
39.50     	83.43     	43.92     	41.38     	5.63      
40.00     	84.03     	43.46     	41.23     	5.64      
40.50     	85.65     	44.36     	41.90     	5.64      
41.00     	85.72     	43.89     	42.38     	5.36      
41.50     	84.22     	42.39     	41.90     	5.03      
42.00     	82.46     	41.34     	40.30     	5.06      
42.50     	81.25     	40.40     	38.83     	5.09      
43.00     	80.78     	40.36     	38.42     	5.09      
43.50     	80.97     	41.79     	39.49     	5.08      
44.00     	81.47     	42.83     	40.62     	4.96      
