Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	97.36     	47.18     	44.31     	4.81      
0.50      	97.29     	47.15     	43.47     	4.81      
1.00      	98.39     	47.41     	43.63     	4.81      
1.50      	100.74    	47.94     	44.87     	4.81      
2.00      	102.19    	48.22     	44.53     	4.81      
2.50      	103.05    	48.33     	43.73     	4.81      
3.00      	103.35    	48.27     	42.52     	4.80      
3.50      	102.38    	47.91     	41.93     	4.79      
4.00      	100.67    	47.39     	40.98     	4.78      
4.50      	98.04     	46.69     	39.60     	4.78      
5.00      	97.46     	46.54     	40.21     	4.78      
5.50      	97.23     	46.50     	40.88     	4.78      
6.00      	97.02     	46.49     	40.80     	4.78      
6.50      	96.12     	46.35     	40.83     	4.80      
7.00      	94.89     	46.14     	41.01     	4.82      
7.50      	93.68     	45.97     	41.86     	4.85      
8.00      	92.79     	45.90     	42.16     	4.87      
8.50      	92.20     	45.92     	41.93     	4.87      
9.00      	91.48     	45.93     	40.82     	4.87      
9.50      	92.05     	46.26     	40.55     	4.87      
10.00     	94.18     	46.98     	41.35     	4.87      
10.50     	97.40     	47.93     	43.45     	4.87      
11.00     	100.11    	48.71     	45.13     	4.87      
11.50     	102.30    	49.29     	46.24     	4.88      
12.00     	103.79    	49.63     	45.95     	4.99      
12.50     	104.14    	49.65     	45.08     	5.04      
13.00     	103.65    	49.44     	43.88     	5.06      
13.50     	101.80    	48.90     	42.52     	5.06      
14.00     	100.81    	48.59     	41.83     	5.06      
14.50     	100.42    	48.45     	41.61     	5.06      
15.00     	100.30    	48.38     	42.25     	5.06      
15.50     	99.78     	48.21     	42.81     	5.06      
16.00     	98.83     	47.94     	43.28     	5.06      
16.50     	97.17     	47.49     	43.52     	5.03      
17.00     	95.43     	47.02     	43.31     	5.02      
17.50     	93.64     	46.55     	42.18     	5.02      
18.00     	92.01     	46.11     	41.88     	5.02      
18.50     	90.73     	45.76     	42.11     	5.02      
19.00     	91.26     	45.84     	43.74     	5.02      
19.50     	93.47     	46.32     	46.54     	5.02      
20.00     	96.81     	47.03     	49.62     	5.02      
20.50     	100.23    	47.71     	49.50     	5.02      
21.00     	102.57    	48.05     	48.02     	5.07      
21.50     	104.30    	48.19     	46.34     	5.13      
22.00     	105.65    	48.19     	45.45     	5.17      
22.50     	105.77    	47.90     	45.02     	5.18      
23.00     	106.37    	47.74     	45.11     	5.18      
23.50     	106.73    	47.57     	45.16     	5.18      
