Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	106.05    	46.33     	42.88     	4.63      
0.50      	106.97    	46.00     	42.90     	4.63      
1.00      	107.89    	46.75     	43.16     	4.63      
1.50      	107.77    	46.51     	42.82     	4.63      
2.00      	106.21    	44.47     	41.54     	4.63      
2.50      	104.13    	42.71     	39.89     	4.63      
3.00      	102.69    	42.52     	39.31     	4.63      
3.50      	102.22    	43.79     	40.06     	4.63      
4.00      	102.04    	44.58     	41.08     	4.63      
4.50      	102.27    	45.20     	41.91     	4.62      
5.00      	102.71    	45.77     	42.28     	4.62      
5.50      	102.63    	45.73     	42.06     	4.62      
6.00      	102.61    	46.10     	42.17     	4.62      
6.50      	103.24    	46.88     	42.80     	4.62      
7.00      	104.85    	47.60     	43.62     	4.62      
7.50      	106.26    	48.24     	44.22     	4.62      
8.00      	105.56    	47.51     	42.56     	4.62      
8.50      	103.65    	46.14     	40.16     	4.62      
9.00      	102.78    	45.76     	39.99     	4.62      
9.50      	102.58    	45.51     	40.51     	4.62      
10.00     	102.92    	45.64     	41.22     	4.62      
10.50     	103.63    	46.49     	41.77     	4.62      
11.00     	103.66    	46.34     	41.43     	4.63      
11.50     	103.68    	46.36     	41.83     	4.63      
12.00     	103.97    	47.24     	43.22     	4.63      
12.50     	103.72    	48.46     	42.99     	4.63      
13.00     	104.15    	48.49     	43.14     	4.64      
13.50     	104.07    	47.73     	42.95     	4.64      
14.00     	102.65    	47.27     	41.89     	4.65      
14.50     	102.28    	48.15     	42.07     	4.65      
15.00     	101.87    	48.27     	42.23     	4.65      
15.50     	101.55    	47.59     	42.28     	4.66      
16.00     	102.56    	48.39     	43.23     	4.66      
16.50     	101.83    	47.90     	42.63     	4.66      
17.00     	100.11    	46.73     	41.07     	4.66      
17.50     	99.73     	46.94     	40.45     	4.65      
18.00     	99.58     	47.24     	40.60     	4.65      
18.50     	99.91     	47.70     	41.50     	4.65      
19.00     	101.04    	48.55     	42.83     	4.64      
19.50     	102.01    	49.02     	43.70     	4.64      
20.00     	102.80    	49.12     	44.26     	4.63      
20.50     	103.21    	48.88     	44.56     	4.63      
21.00     	102.90    	48.37     	44.48     	4.63      
21.50     	103.46    	49.03     	44.86     	4.62      
22.00     	104.28    	49.55     	45.05     	4.62      
22.50     	104.22    	48.50     	44.43     	4.63      
23.00     	103.02    	47.28     	44.21     	4.64      
23.50     	102.36    	46.31     	44.54     	4.65      
24.00     	102.91    	45.94     	45.19     	4.66      
24.50     	103.54    	46.75     	45.36     	4.67      
25.00     	103.11    	47.09     	44.80     	4.68      
25.50     	102.04    	46.97     	43.81     	4.69      
26.00     	101.64    	47.42     	43.15     	4.70      
26.50     	101.51    	47.38     	43.83     	4.71      
27.00     	101.72    	47.39     	44.81     	4.71      
27.50     	102.42    	48.38     	44.62     	4.72      
28.00     	103.07    	49.39     	44.86     	4.73      
28.50     	102.69    	49.50     	44.43     	4.74      
29.00     	101.67    	49.01     	43.41     	4.75      
29.50     	101.99    	49.61     	43.56     	4.76      
30.00     	102.72    	50.55     	44.08     	4.77      
30.50     	103.51    	51.41     	44.44     	4.78      
31.00     	104.16    	51.84     	44.29     	4.78      
31.50     	106.40    	52.10     	45.21     	4.79      
32.00     	108.42    	51.97     	45.75     	4.79      
32.50     	109.10    	51.27     	45.08     	4.79      
33.00     	109.17    	50.20     	44.10     	4.78      
33.50     	109.48    	49.69     	44.08     	4.77      
34.00     	110.44    	49.67     	44.85     	4.77      
34.50     	111.72    	49.61     	45.51     	4.76      
35.00     	110.65    	48.65     	43.88     	4.76      
35.50     	108.76    	47.51     	42.47     	4.75      
36.00     	107.21    	46.72     	42.11     	4.74      
36.50     	106.49    	46.47     	41.86     	4.74      
37.00     	106.89    	47.86     	42.53     	4.73      
37.50     	107.81    	49.65     	43.75     	4.72      
38.00     	107.35    	48.07     	43.90     	4.72      
38.50     	106.78    	47.34     	43.84     	4.71      
39.00     	106.52    	47.78     	43.72     	4.70      
39.50     	106.61    	48.08     	43.42     	4.70      
40.00     	107.32    	49.32     	44.09     	4.69      
40.50     	107.72    	49.99     	44.66     	4.68      
41.00     	106.79    	48.44     	43.77     	4.68      
41.50     	106.22    	47.95     	43.48     	4.67      
42.00     	105.60    	47.74     	43.16     	4.67      
42.50     	104.80    	47.38     	42.59     	4.66      
43.00     	104.88    	47.74     	43.24     	4.66      
43.50     	105.38    	48.18     	44.16     	4.65      
44.00     	105.68    	48.19     	44.48     	4.65      
44.50     	105.32    	47.79     	43.64     	4.64      
45.00     	105.04    	48.25     	43.36     	4.64      
45.50     	105.51    	49.43     	43.78     	4.63      
46.00     	106.82    	50.48     	44.34     	4.63      
46.50     	106.69    	49.98     	44.09     	4.62      
47.00     	106.43    	49.39     	43.86     	4.62      
47.50     	106.52    	49.20     	43.84     	4.61      
48.00     	106.10    	48.51     	43.15     	4.60      
48.50     	105.96    	48.41     	42.96     	4.60      
49.00     	106.08    	48.95     	43.45     	4.59      
49.50     	104.85    	48.09     	42.81     	4.59      
50.00     	103.81    	47.35     	42.37     	4.58      
50.50     	103.09    	46.94     	42.09     	4.58      
51.00     	101.95    	46.35     	41.13     	4.58      
51.50     	101.91    	46.44     	41.46     	4.58      
52.00     	102.73    	47.04     	42.88     	4.58      
52.50     	102.13    	46.83     	42.73     	4.57      
53.00     	101.30    	46.43     	42.31     	4.57      
53.50     	100.41    	46.14     	42.06     	4.57      
54.00     	99.46     	46.25     	42.19     	4.57      
54.50     	98.80     	46.56     	42.19     	4.57      
55.00     	98.51     	46.81     	42.07     	4.56      
55.50     	98.51     	46.67     	42.17     	4.56      
56.00     	98.06     	46.24     	41.94     	4.56      
56.50     	97.30     	46.03     	41.53     	4.56      
57.00     	96.77     	46.73     	41.50     	4.56      
57.50     	96.97     	48.09     	41.96     	4.55      
58.00     	97.85     	49.47     	42.54     	4.55      
58.50     	98.97     	50.01     	42.59     	4.55      
59.00     	98.70     	49.11     	41.80     	4.56      
59.50     	98.08     	48.81     	41.47     	4.57      
60.00     	98.24     	50.38     	42.36     	4.57      
60.50     	98.46     	50.48     	42.50     	4.58      
61.00     	98.30     	49.72     	42.07     	4.59      
61.50     	97.80     	49.11     	41.59     	4.59      
62.00     	97.70     	49.48     	41.65     	4.60      
62.50     	97.67     	49.55     	42.22     	4.61      
63.00     	97.77     	49.19     	43.02     	4.61      
63.50     	98.53     	49.67     	43.52     	4.62      
64.00     	99.34     	50.56     	43.87     	4.62      
64.50     	99.44     	50.22     	43.56     	4.63      
65.00     	98.84     	48.18     	42.48     	4.64      
65.50     	100.10    	48.88     	41.98     	4.64      
66.00     	100.60    	48.68     	42.12     	4.65      
66.50     	99.88     	47.04     	42.80     	4.66      
67.00     	100.84    	48.02     	43.37     	4.66      
67.50     	99.49     	46.74     	42.06     	4.66      
