Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	94.73     	45.56     	32.38     	4.40      
0.50      	94.78     	46.22     	32.82     	4.40      
1.00      	94.93     	47.50     	32.93     	4.41      
1.50      	95.10     	48.06     	33.23     	4.41      
2.00      	94.78     	47.58     	33.50     	4.41      
2.50      	94.04     	46.67     	33.03     	4.41      
3.00      	92.93     	45.84     	32.11     	4.41      
3.50      	91.50     	45.30     	31.43     	4.41      
4.00      	90.72     	45.65     	31.53     	4.41      
4.50      	90.87     	46.63     	32.19     	4.42      
5.00      	91.81     	47.87     	32.91     	4.42      
5.50      	93.10     	49.27     	33.43     	4.42      
6.00      	94.01     	50.14     	33.65     	4.42      
6.50      	94.20     	49.91     	33.74     	4.42      
7.00      	93.69     	48.73     	33.47     	4.42      
7.50      	93.24     	48.01     	32.93     	4.42      
8.00      	93.03     	47.99     	32.68     	4.43      
8.50      	93.45     	48.53     	33.18     	4.43      
9.00      	94.66     	49.45     	34.09     	4.43      
9.50      	96.27     	50.41     	34.94     	4.43      
10.00     	97.89     	51.30     	35.55     	4.43      
10.50     	98.12     	50.97     	35.16     	4.43      
11.00     	96.91     	49.30     	33.85     	4.43      
11.50     	95.53     	47.48     	32.59     	4.43      
12.00     	94.66     	46.23     	31.97     	4.44      
12.50     	94.54     	46.20     	32.17     	4.44      
13.00     	94.89     	47.10     	32.73     	4.44      
13.50     	95.53     	48.04     	33.28     	4.44      
14.00     	95.80     	48.13     	33.39     	4.44      
14.50     	95.74     	47.66     	32.97     	4.44      
15.00     	95.38     	47.09     	32.44     	4.44      
15.50     	94.42     	46.30     	32.09     	4.44      
16.00     	93.28     	45.78     	32.01     	4.44      
16.50     	92.90     	45.99     	32.35     	4.44      
17.00     	93.94     	47.10     	33.27     	4.44      
17.50     	95.54     	48.65     	34.21     	4.45      
18.00     	96.17     	49.36     	34.20     	4.45      
18.50     	95.37     	48.63     	33.29     	4.45      
19.00     	93.82     	47.05     	32.35     	4.45      
19.50     	93.17     	46.43     	32.30     	4.45      
20.00     	92.88     	46.55     	32.57     	4.45      
20.50     	93.16     	47.36     	33.17     	4.45      
21.00     	94.15     	48.66     	34.02     	4.45      
21.50     	95.53     	50.11     	34.51     	4.46      
22.00     	96.85     	51.25     	34.47     	4.46      
22.50     	97.39     	51.10     	33.97     	4.46      
23.00     	97.08     	49.77     	33.16     	4.46      
