Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	109.25    	50.37     	43.73     	4.24      
0.50      	105.46    	46.69     	40.77     	4.21      
1.00      	103.48    	44.33     	39.01     	4.18      
1.50      	105.19    	46.44     	41.27     	4.17      
2.00      	107.01    	49.66     	44.01     	4.16      
2.50      	106.57    	50.55     	44.31     	4.15      
3.00      	105.59    	49.99     	43.45     	4.16      
3.50      	105.76    	50.42     	43.62     	4.16      
4.00      	106.25    	51.25     	43.94     	4.18      
4.50      	106.17    	51.04     	43.48     	4.19      
5.00      	106.05    	49.96     	42.81     	4.21      
5.50      	106.58    	49.47     	42.89     	4.22      
6.00      	106.35    	49.25     	43.02     	4.24      
6.50      	105.96    	49.09     	42.86     	4.26      
7.00      	106.66    	48.92     	42.30     	4.28      
7.50      	108.84    	49.33     	41.94     	4.29      
8.00      	109.42    	50.24     	42.29     	4.31      
8.50      	106.93    	50.80     	43.16     	4.32      
9.00      	103.41    	50.66     	43.78     	4.32      
9.50      	103.45    	51.17     	44.43     	4.32      
10.00     	108.47    	52.93     	45.79     	4.31      
10.50     	111.61    	52.40     	45.23     	4.30      
11.00     	108.12    	48.54     	41.94     	4.28      
11.50     	104.80    	46.52     	40.32     	4.26      
12.00     	105.56    	48.09     	41.79     	4.23      
12.50     	105.43    	49.47     	42.97     	4.19      
13.00     	104.09    	49.67     	43.06     	4.16      
13.50     	103.80    	50.23     	43.22     	4.11      
14.00     	102.79    	50.80     	43.24     	4.07      
14.50     	100.26    	50.93     	43.38     	4.02      
15.00     	98.51     	51.02     	43.98     	3.98      
15.50     	99.77     	51.25     	44.70     	3.94      
16.00     	100.91    	50.93     	44.63     	3.90      
16.50     	97.76     	50.02     	43.71     	3.87      
17.00     	92.79     	49.01     	42.70     	3.85      
17.50     	92.10     	48.45     	42.25     	3.84      
18.00     	97.26     	49.09     	42.86     	3.83      
18.50     	102.58    	50.05     	43.67     	3.82      
19.00     	101.83    	50.55     	43.72     	3.81      
19.50     	97.09     	50.58     	43.06     	3.80      
20.00     	95.42     	50.63     	42.89     	3.79      
20.50     	97.03     	51.06     	43.74     	3.78      
21.00     	97.84     	51.28     	44.25     	3.77      
21.50     	96.55     	50.78     	43.50     	3.76      
22.00     	95.32     	49.87     	42.44     	3.76      
22.50     	96.39     	50.11     	42.90     	3.77      
23.00     	98.08     	51.06     	44.19     	3.79      
23.50     	99.41     	51.52     	44.87     	3.82      
24.00     	100.14    	51.04     	44.62     	3.85      
24.50     	99.58     	50.12     	44.06     	3.90      
25.00     	97.84     	49.09     	43.25     	3.94      
25.50     	96.68     	48.31     	42.31     	3.99      
26.00     	96.82     	48.30     	42.09     	4.05      
26.50     	96.96     	48.58     	42.34     	4.09      
27.00     	96.41     	48.58     	42.29     	4.14      
27.50     	96.17     	48.45     	41.82     	4.18      
28.00     	97.37     	48.74     	41.66     	4.21      
28.50     	98.74     	48.98     	41.82     	4.24      
29.00     	99.33     	48.76     	41.87     	4.26      
29.50     	99.11     	47.94     	41.17     	4.27      
