Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	104.10    	42.41     	40.21     	5.10      
0.50      	104.35    	42.48     	40.94     	5.10      
1.00      	104.60    	42.55     	41.68     	5.10      
1.50      	104.15    	42.48     	42.01     	5.13      
2.00      	103.51    	42.38     	42.23     	5.17      
2.50      	102.91    	42.28     	42.05     	5.19      
3.00      	102.34    	42.20     	41.59     	5.20      
3.50      	102.63    	42.29     	41.58     	5.20      
4.00      	104.12    	42.62     	42.20     	5.20      
4.50      	105.36    	42.89     	42.84     	5.21      
5.00      	105.83    	42.98     	43.48     	5.24      
5.50      	106.23    	43.05     	44.04     	5.27      
6.00      	105.54    	42.89     	43.15     	5.29      
6.50      	104.86    	42.74     	42.27     	5.30      
7.00      	104.68    	42.71     	41.53     	5.31      
7.50      	104.59    	42.72     	40.81     	5.31      
8.00      	105.45    	42.95     	41.01     	5.31      
8.50      	106.78    	43.30     	41.66     	5.31      
9.00      	107.55    	43.54     	42.24     	5.31      
9.50      	107.54    	43.64     	42.74     	5.32      
10.00     	107.45    	43.75     	43.08     	5.32      
10.50     	106.79    	43.77     	42.39     	5.33      
11.00     	106.12    	43.81     	41.71     	5.33      
11.50     	106.27    	44.05     	41.31     	5.33      
12.00     	106.59    	44.35     	40.98     	5.33      
12.50     	107.48    	44.76     	41.32     	5.32      
13.00     	108.86    	45.26     	42.24     	5.32      
13.50     	110.01    	45.69     	42.86     	5.30      
14.00     	110.59    	45.97     	42.68     	5.27      
14.50     	111.17    	46.21     	42.51     	5.24      
15.00     	111.18    	46.29     	42.09     	5.24      
15.50     	111.18    	46.33     	41.67     	5.24      
16.00     	110.70    	46.22     	41.43     	5.24      
16.50     	109.95    	46.02     	41.28     	5.24      
17.00     	109.79    	45.90     	41.41     	5.24      
17.50     	110.74    	45.96     	42.08     	5.24      
18.00     	111.68    	45.98     	42.75     	5.24      
18.50     	111.34    	45.70     	42.60     	5.30      
19.00     	110.97    	45.39     	42.43     	5.35      
19.50     	110.21    	44.99     	42.14     	5.38      
20.00     	109.17    	44.53     	41.74     	5.39      
20.50     	108.40    	44.14     	41.43     	5.39      
21.00     	108.77    	43.99     	41.45     	5.39      
21.50     	109.14    	43.86     	41.47     	5.39      
22.00     	109.93    	43.83     	41.84     	5.37      
22.50     	110.78    	43.82     	42.26     	5.35      
23.00     	110.98    	43.70     	42.36     	5.33      
23.50     	110.55    	43.48     	42.15     	5.31      
24.00     	110.30    	43.31     	42.01     	5.29      
24.50     	111.01    	43.36     	42.24     	5.29      
25.00     	111.72    	43.43     	42.48     	5.29      
25.50     	112.72    	43.56     	42.82     	5.28      
26.00     	113.78    	43.71     	43.18     	5.26      
26.50     	114.01    	43.70     	43.33     	5.24      
27.00     	113.49    	43.54     	43.28     	5.20      
27.50     	112.93    	43.38     	43.13     	5.17      
28.00     	112.23    	43.21     	42.63     	5.17      
28.50     	111.53    	43.06     	42.12     	5.17      
29.00     	111.74    	43.12     	41.77     	5.17      
29.50     	112.07    	43.21     	41.44     	5.17      
30.00     	112.76    	43.39     	41.44     	5.17      
30.50     	113.63    	43.62     	41.61     	5.17      
31.00     	114.02    	43.76     	41.63     	5.17      
31.50     	113.67    	43.77     	41.40     	5.18      
32.00     	113.28    	43.79     	41.15     	5.18      
32.50     	112.19    	43.68     	40.58     	5.18      
33.00     	111.11    	43.60     	40.01     	5.18      
33.50     	110.32    	43.60     	39.43     	5.18      
34.00     	109.65    	43.62     	38.86     	5.18      
34.50     	109.42    	43.74     	38.65     	5.19      
35.00     	109.75    	43.96     	38.90     	5.19      
35.50     	109.94    	44.13     	39.10     	5.19      
36.00     	109.11    	44.07     	38.87     	5.24      
36.50     	108.28    	43.98     	38.64     	5.29      
37.00     	107.40    	43.85     	38.49     	5.30      
37.50     	106.51    	43.68     	38.36     	5.30      
38.00     	106.07    	43.57     	38.73     	5.30      
38.50     	106.04    	43.50     	39.52     	5.30      
39.00     	106.48    	43.49     	40.46     	5.30      
39.50     	107.96    	43.65     	41.71     	5.30      
40.00     	109.27    	43.74     	42.77     	5.30      
40.50     	109.24    	43.51     	42.28     	5.29      
41.00     	109.20    	43.27     	41.79     	5.28      
41.50     	108.70    	42.92     	41.34     	5.27      
42.00     	108.15    	42.58     	40.89     	5.27      
42.50     	107.69    	42.28     	40.56     	5.27      
43.00     	107.26    	42.02     	40.29     	5.27      
43.50     	107.48    	41.93     	40.33     	5.27      
44.00     	108.58    	42.07     	40.80     	5.27      
44.50     	109.51    	42.22     	41.31     	5.27      
45.00     	109.70    	42.26     	41.95     	5.29      
45.50     	109.88    	42.36     	42.60     	5.31      
46.00     	109.01    	42.29     	42.30     	5.32      
46.50     	108.04    	42.26     	41.91     	5.33      
47.00     	108.35    	42.54     	41.85     	5.33      
47.50     	109.29    	42.99     	41.97     	5.33      
48.00     	110.43    	43.50     	42.36     	5.32      
48.50     	111.83    	44.08     	43.14     	5.32      
49.00     	112.99    	44.60     	43.63     	5.30      
49.50     	113.13    	44.90     	42.90     	5.27      
50.00     	113.26    	45.20     	42.18     	5.25      
50.50     	112.71    	45.34     	41.49     	5.24      
51.00     	112.14    	45.46     	40.80     	5.24      
51.50     	112.66    	45.78     	40.84     	5.24      
52.00     	113.48    	46.13     	41.09     	5.24      
52.50     	114.36    	46.46     	41.23     	5.25      
53.00     	115.27    	46.76     	41.31     	5.25      
53.50     	115.54    	46.88     	41.10     	5.25      
54.00     	114.93    	46.80     	40.51     	5.25      
54.50     	114.14    	46.65     	40.00     	5.25      
55.00     	112.46    	46.31     	39.85     	5.25      
55.50     	110.79    	45.96     	39.71     	5.25      
56.00     	110.71    	45.92     	40.09     	5.25      
56.50     	110.76    	45.89     	40.51     	5.25      
57.00     	111.06    	45.89     	40.95     	5.25      
57.50     	111.47    	45.90     	41.39     	5.25      
58.00     	112.72    	46.05     	42.64     	5.26      
58.50     	114.69    	46.33     	44.60     	5.27      
59.00     	115.38    	46.32     	45.59     	5.27      
59.50     	114.71    	46.02     	45.55     	5.27      
60.00     	112.74    	45.46     	44.53     	5.28      
60.50     	110.16    	44.80     	43.05     	5.28      
61.00     	108.71    	44.39     	42.07     	5.28      
61.50     	107.70    	44.08     	41.29     	5.28      
62.00     	107.50    	43.96     	40.79     	5.28      
62.50     	108.06    	44.01     	40.56     	5.28      
63.00     	108.22    	43.98     	40.43     	5.29      
63.50     	107.48    	43.79     	40.50     	5.33      
64.00     	106.75    	43.61     	40.54     	5.38      
64.50     	106.22    	43.49     	40.40     	5.39      
65.00     	105.68    	43.39     	40.25     	5.41      
65.50     	106.66    	43.61     	40.64     	5.42      
66.00     	107.96    	43.92     	41.14     	5.42      
66.50     	108.86    	44.14     	41.50     	5.37      
67.00     	109.49    	44.31     	41.75     	5.29      
67.50     	109.85    	44.43     	42.08     	5.22      
68.00     	109.67    	44.45     	42.56     	5.17      
68.50     	109.49    	44.48     	43.04     	5.11      
69.00     	109.99    	44.65     	42.21     	5.15      
69.50     	110.49    	44.83     	41.37     	5.18      
70.00     	110.34    	44.88     	40.68     	5.19      
70.50     	109.93    	44.87     	40.04     	5.19      
71.00     	109.64    	44.90     	39.43     	5.19      
71.50     	109.54    	44.96     	38.88     	5.19      
72.00     	109.55    	45.05     	38.43     	5.19      
72.50     	110.68    	45.35     	38.89     	5.19      
73.00     	111.81    	45.63     	39.34     	5.19      
73.50     	112.49    	45.81     	39.37     	5.18      
74.00     	113.06    	45.93     	39.29     	5.17      
74.50     	113.40    	46.00     	39.43     	5.17      
75.00     	113.48    	45.99     	39.82     	5.17      
75.50     	113.44    	45.95     	40.07     	5.17      
76.00     	112.70    	45.76     	39.59     	5.17      
76.50     	111.96    	45.57     	39.12     	5.17      
77.00     	113.84    	45.91     	39.98     	5.17      
77.50     	115.96    	46.28     	40.96     	5.17      
78.00     	117.70    	46.55     	41.51     	5.18      
78.50     	119.26    	46.77     	41.85     	5.20      
79.00     	120.03    	46.81     	41.44     	5.22      
79.50     	119.82    	46.65     	40.10     	5.24      
80.00     	119.50    	46.47     	38.88     	5.25      
80.50     	118.65    	46.20     	38.16     	5.25      
81.00     	117.80    	45.94     	37.44     	5.25      
81.50     	116.61    	45.63     	37.44     	5.25      
82.00     	115.39    	45.32     	37.55     	5.25      
82.50     	114.80    	45.15     	37.68     	5.25      
83.00     	114.56    	45.06     	37.84     	5.25      
83.50     	113.95    	44.90     	37.87     	5.24      
84.00     	112.71    	44.62     	37.69     	5.21      
84.50     	111.48    	44.35     	37.51     	5.18      
85.00     	110.24    	44.09     	37.21     	5.18      
85.50     	109.00    	43.84     	36.92     	5.18      
86.00     	107.63    	43.58     	36.94     	5.18      
86.50     	106.23    	43.33     	37.03     	5.18      
87.00     	106.01    	43.33     	37.68     	5.18      
87.50     	106.50    	43.48     	38.67     	5.18      
88.00     	107.00    	43.65     	39.75     	5.18      
88.50     	107.51    	43.82     	40.92     	5.18      
89.00     	107.68    	43.92     	41.46     	5.20      
89.50     	107.30    	43.92     	40.93     	5.22      
90.00     	106.80    	43.90     	40.37     	5.24      
90.50     	105.83    	43.80     	39.73     	5.24      
91.00     	104.89    	43.72     	39.11     	5.24      
91.50     	104.74    	43.80     	39.19     	5.24      
92.00     	104.60    	43.90     	39.26     	5.24      
92.50     	105.46    	44.20     	39.87     	5.24      
93.00     	106.44    	44.51     	40.55     	5.24      
93.50     	106.56    	44.63     	40.44     	5.27      
94.00     	106.36    	44.67     	40.03     	5.31      
94.50     	106.09    	44.68     	39.94     	5.33      
95.00     	105.77    	44.67     	40.09     	5.33      
95.50     	105.28    	44.61     	40.26     	5.34      
96.00     	104.55    	44.49     	40.47     	5.34      
96.50     	104.27    	44.45     	40.78     	5.34      
97.00     	105.30    	44.66     	41.36     	5.34      
97.50     	106.50    	44.88     	42.09     	5.34      
98.00     	108.47    	45.24     	43.46     	5.34      
98.50     	110.34    	45.53     	44.81     	5.34      
99.00     	110.75    	45.49     	46.02     	5.37      
99.50     	111.16    	45.43     	47.22     	5.39      
100.00    	110.41    	45.11     	46.28     	5.40      
100.50    	109.58    	44.77     	45.17     	5.40      
101.00    	109.47    	44.59     	44.63     	5.40      
101.50    	109.57    	44.47     	44.24     	5.40      
102.00    	110.88    	44.60     	44.70     	5.40      
102.50    	112.82    	44.86     	45.60     	5.40      
103.00    	114.04    	44.97     	46.01     	5.38      
103.50    	114.74    	44.98     	46.08     	5.35      
104.00    	114.94    	44.89     	45.75     	5.33      
104.50    	114.48    	44.69     	44.89     	5.32      
105.00    	114.04    	44.52     	44.09     	5.32      
105.50    	113.67    	44.39     	43.45     	5.32      
106.00    	113.54    	44.33     	42.94     	5.32      
106.50    	114.98    	44.60     	43.32     	5.32      
107.00    	116.42    	44.87     	43.70     	5.32      
107.50    	116.46    	44.87     	43.40     	5.29      
108.00    	116.45    	44.86     	43.08     	5.27      
108.50    	116.19    	44.81     	42.65     	5.25      
109.00    	115.85    	44.74     	42.19     	5.25      
109.50    	115.52    	44.69     	41.53     	5.24      
110.00    	115.20    	44.65     	40.72     	5.24      
110.50    	115.33    	44.70     	40.18     	5.24      
111.00    	116.10    	44.88     	40.04     	5.24      
111.50    	116.65    	45.01     	39.93     	5.25      
112.00    	116.48    	44.99     	39.95     	5.27      
112.50    	116.31    	44.97     	39.97     	5.30      
113.00    	115.46    	44.83     	39.43     	5.31      
113.50    	114.62    	44.69     	38.88     	5.31      
114.00    	113.37    	44.48     	38.42     	5.31      
114.50    	112.03    	44.27     	37.98     	5.31      
115.00    	111.88    	44.31     	38.17     	5.31      
115.50    	112.35    	44.48     	38.69     	5.31      
116.00    	112.53    	44.60     	39.28     	5.31      
116.50    	112.45    	44.66     	39.93     	5.31      
117.00    	112.02    	44.65     	40.17     	5.31      
117.50    	110.87    	44.51     	39.58     	5.31      
118.00    	109.81    	44.39     	39.01     	5.31      
118.50    	109.27    	44.38     	38.59     	5.31      
119.00    	108.76    	44.38     	38.20     	5.31      
119.50    	109.70    	44.66     	39.05     	5.31      
120.00    	110.64    	44.93     	39.89     	5.31      
120.50    	110.40    	44.95     	39.66     	5.28      
121.00    	110.06    	44.94     	39.34     	5.24      
121.50    	108.97    	44.76     	38.93     	5.22      
122.00    	107.66    	44.54     	38.49     	5.20      
122.50    	106.40    	44.32     	37.55     	5.19      
123.00    	105.15    	44.11     	36.31     	5.19      
123.50    	104.99    	44.12     	36.22     	5.19      
124.00    	105.93    	44.34     	37.28     	5.19      
124.50    	106.48    	44.46     	38.14     	5.20      
