Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	88.41     	50.76     	41.42     	4.81      
0.50      	89.15     	50.97     	41.78     	4.81      
1.00      	89.82     	51.15     	42.05     	4.81      
1.50      	89.85     	51.16     	41.52     	4.81      
2.00      	89.87     	51.16     	41.20     	4.81      
2.50      	89.77     	51.12     	42.03     	4.81      
3.00      	89.56     	51.04     	42.81     	4.81      
3.50      	88.87     	50.82     	43.38     	4.81      
4.00      	88.01     	50.54     	43.84     	4.81      
4.50      	86.69     	50.11     	44.02     	4.81      
5.00      	85.65     	49.74     	44.21     	4.81      
5.50      	85.10     	49.50     	44.44     	4.81      
6.00      	85.52     	49.52     	45.33     	4.81      
6.50      	87.14     	49.87     	47.02     	4.81      
7.00      	88.97     	50.26     	48.36     	4.84      
7.50      	90.90     	50.69     	49.48     	4.88      
8.00      	91.01     	50.62     	49.17     	4.93      
8.50      	90.66     	50.42     	48.59     	4.96      
9.00      	89.54     	50.03     	47.54     	4.96      
9.50      	88.52     	49.68     	46.32     	4.96      
10.00     	87.55     	49.36     	44.95     	4.96      
10.50     	86.54     	49.06     	43.93     	4.96      
11.00     	85.50     	48.78     	43.16     	4.96      
11.50     	84.53     	48.53     	42.61     	4.96      
12.00     	83.61     	48.33     	42.28     	4.96      
12.50     	82.69     	48.14     	42.24     	4.96      
13.00     	81.76     	47.97     	42.60     	4.96      
13.50     	80.79     	47.79     	42.62     	4.96      
14.00     	79.76     	47.61     	42.12     	4.96      
14.50     	79.44     	47.61     	42.17     	4.96      
15.00     	80.39     	47.95     	43.20     	4.96      
15.50     	81.72     	48.38     	44.35     	4.96      
16.00     	83.56     	48.92     	45.64     	4.96      
16.50     	84.78     	49.25     	46.03     	4.96      
17.00     	85.50     	49.39     	45.65     	4.97      
17.50     	85.97     	49.41     	45.26     	4.97      
18.00     	86.30     	49.35     	44.84     	4.97      
18.50     	86.24     	49.11     	44.60     	4.97      
19.00     	85.92     	48.76     	44.46     	4.97      
19.50     	86.57     	48.62     	44.72     	4.97      
20.00     	87.72     	48.58     	45.18     	4.97      
20.50     	88.29     	48.34     	46.23     	4.97      
21.00     	88.67     	48.03     	47.46     	4.97      
21.50     	88.66     	47.60     	47.73     	4.87      
22.00     	88.52     	47.14     	47.70     	4.74      
22.50     	88.60     	46.76     	47.79     	4.70      
23.00     	88.77     	46.45     	47.94     	4.69      
23.50     	88.81     	46.15     	47.73     	4.69      
24.00     	88.77     	45.89     	47.28     	4.69      
24.50     	88.64     	45.67     	46.53     	4.69      
25.00     	88.43     	45.52     	45.56     	4.69      
25.50     	88.92     	45.64     	45.54     	4.69      
26.00     	89.97     	45.99     	46.29     	4.69      
26.50     	90.64     	46.32     	46.87     	4.71      
27.00     	91.01     	46.63     	47.33     	4.75      
27.50     	91.16     	46.95     	47.72     	4.88      
28.00     	91.13     	47.26     	48.05     	5.08      
28.50     	90.90     	47.56     	48.36     	5.18      
29.00     	90.47     	47.82     	48.66     	5.18      
29.50     	90.01     	48.09     	48.79     	5.18      
30.00     	89.51     	48.34     	48.71     	5.18      
30.50     	89.21     	48.63     	48.90     	5.18      
31.00     	89.18     	48.97     	49.48     	5.18      
31.50     	89.12     	49.26     	50.07     	5.19      
