Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	92.48     	55.45     	57.17     	5.24      
0.50      	94.02     	56.80     	58.47     	5.26      
1.00      	95.01     	57.26     	58.73     	5.27      
1.50      	95.44     	57.08     	57.90     	5.28      
2.00      	95.24     	56.33     	56.53     	5.29      
2.50      	94.39     	54.91     	54.78     	5.29      
3.00      	93.39     	53.68     	52.90     	5.29      
3.50      	93.34     	53.56     	51.99     	5.29      
4.00      	94.52     	54.57     	52.87     	5.29      
4.50      	96.38     	56.04     	54.87     	5.29      
5.00      	98.18     	57.23     	56.56     	5.29      
5.50      	98.69     	57.20     	56.54     	5.28      
6.00      	97.90     	55.66     	54.88     	5.27      
6.50      	96.90     	53.70     	52.95     	5.27      
7.00      	97.00     	52.69     	52.08     	5.26      
7.50      	97.84     	52.54     	52.14     	5.25      
8.00      	98.38     	52.31     	52.33     	5.24      
8.50      	98.53     	51.77     	52.20     	5.24      
9.00      	97.87     	50.70     	51.04     	5.23      
9.50      	96.64     	49.37     	49.30     	5.23      
10.00     	94.86     	48.02     	47.67     	5.22      
10.50     	93.87     	47.65     	47.20     	5.22      
11.00     	93.75     	48.20     	47.90     	5.23      
11.50     	93.50     	48.53     	48.74     	5.23      
12.00     	93.14     	48.52     	49.30     	5.25      
12.50     	92.41     	48.06     	48.97     	5.26      
13.00     	91.54     	47.76     	48.37     	5.28      
13.50     	90.37     	47.43     	47.82     	5.30      
14.00     	89.38     	47.49     	48.08     	5.33      
14.50     	88.11     	47.64     	48.48     	5.36      
15.00     	87.39     	48.25     	49.27     	5.39      
15.50     	87.97     	49.77     	51.11     	5.42      
16.00     	89.11     	51.57     	53.32     	5.45      
16.50     	89.56     	52.70     	54.77     	5.47      
17.00     	89.07     	52.67     	54.70     	5.49      
17.50     	88.10     	52.09     	53.78     	5.50      
18.00     	88.23     	52.62     	54.04     	5.50      
18.50     	89.59     	54.50     	55.70     	5.48      
19.00     	91.00     	56.31     	57.27     	5.44      
19.50     	92.12     	57.29     	58.28     	5.39      
20.00     	92.26     	57.26     	58.16     	5.34      
20.50     	91.80     	57.10     	57.31     	5.28      
21.00     	90.65     	56.50     	55.70     	5.23      
21.50     	90.37     	56.46     	55.16     	5.19      
22.00     	91.48     	57.81     	56.49     	5.17      
22.50     	92.75     	59.47     	58.09     	5.18      
23.00     	93.42     	60.39     	58.76     	5.22      
23.50     	93.15     	60.10     	58.15     	5.27      
24.00     	92.40     	59.27     	57.09     	5.33      
24.50     	91.14     	57.98     	55.64     	5.40      
25.00     	90.44     	57.43     	54.91     	5.46      
25.50     	91.01     	58.31     	55.59     	5.51      
26.00     	91.92     	59.46     	56.62     	5.54      
26.50     	92.00     	59.70     	57.05     	5.56      
27.00     	91.41     	59.24     	56.98     	5.55      
27.50     	90.67     	58.94     	56.67     	5.54      
28.00     	89.99     	58.74     	55.99     	5.53      
28.50     	89.01     	58.32     	55.30     	5.52      
29.00     	88.84     	58.78     	56.02     	5.51      
29.50     	90.00     	60.49     	58.19     	5.51      
30.00     	90.87     	61.81     	59.65     	5.52      
30.50     	91.22     	62.24     	60.04     	5.54      
31.00     	90.87     	61.63     	59.24     	5.55      
31.50     	91.06     	61.58     	58.75     	5.56      
32.00     	92.19     	62.38     	58.96     	5.56      
32.50     	93.74     	63.21     	59.61     	5.55      
33.00     	95.28     	63.72     	60.42     	5.51      
33.50     	96.13     	63.50     	60.38     	5.45      
34.00     	95.97     	62.64     	59.32     	5.39      
34.50     	94.75     	61.04     	57.34     	5.32      
35.00     	93.67     	59.54     	55.89     	5.26      
35.50     	93.88     	59.13     	56.13     	5.21      
36.00     	94.66     	59.36     	57.15     	5.18      
36.50     	94.54     	59.12     	57.31     	5.18      
37.00     	93.61     	58.20     	56.50     	5.20      
37.50     	92.19     	57.02     	55.34     	5.23      
38.00     	90.56     	55.84     	54.05     	5.28      
38.50     	88.63     	54.53     	52.65     	5.33      
39.00     	87.77     	54.14     	52.50     	5.37      
39.50     	88.13     	55.08     	53.78     	5.41      
40.00     	88.08     	55.92     	54.72     	5.44      
40.50     	87.32     	55.95     	54.69     	5.46      
41.00     	85.78     	54.89     	53.44     	5.47      
41.50     	84.66     	54.24     	52.48     	5.48      
42.00     	83.56     	53.91     	51.89     	5.48      
42.50     	83.03     	54.29     	52.36     	5.48      
43.00     	83.77     	56.04     	54.48     	5.47      
43.50     	84.97     	58.36     	57.02     	5.46      
44.00     	85.38     	59.85     	58.41     	5.46      
44.50     	84.98     	60.02     	58.40     	5.45      
45.00     	84.53     	59.79     	58.21     	5.44      
45.50     	84.39     	59.72     	58.23     	5.43      
46.00     	84.68     	60.32     	58.98     	5.42      
46.50     	85.93     	61.94     	61.06     	5.42      
47.00     	87.84     	63.84     	63.42     	5.41      
47.50     	89.03     	64.56     	64.29     	5.41      
48.00     	89.38     	64.04     	63.75     	5.40      
48.50     	89.20     	62.86     	62.59     	5.40      
49.00     	89.17     	61.80     	61.68     	5.40      
49.50     	89.27     	61.18     	61.13     	5.40      
50.00     	89.81     	61.46     	61.37     	5.39      
50.50     	91.16     	62.74     	62.33     	5.39      
51.00     	91.99     	63.30     	62.15     	5.39      
51.50     	92.24     	62.95     	61.19     	5.39      
52.00     	91.80     	61.73     	59.67     	5.39      
52.50     	91.95     	61.09     	58.64     	5.39      
53.00     	92.62     	61.00     	58.05     	5.40      
53.50     	93.15     	60.60     	57.97     	5.41      
54.00     	93.59     	60.06     	58.46     	5.43      
54.50     	93.92     	59.51     	58.50     	5.44      
55.00     	93.58     	58.76     	57.66     	5.46      
55.50     	92.61     	57.45     	56.21     	5.48      
56.00     	91.50     	55.96     	54.93     	5.51      
56.50     	91.28     	55.68     	54.87     	5.53      
57.00     	91.95     	56.81     	56.08     	5.55      
57.50     	92.37     	57.76     	57.03     	5.56      
58.00     	92.84     	58.52     	57.57     	5.58      
58.50     	92.88     	58.61     	57.28     	5.58      
59.00     	92.93     	58.22     	56.91     	5.59      
59.50     	92.63     	57.17     	56.23     	5.58      
60.00     	92.80     	56.85     	56.41     	5.58      
60.50     	94.22     	57.78     	57.93     	5.56      
61.00     	95.82     	58.39     	59.10     	5.53      
61.50     	96.22     	57.70     	58.84     	5.51      
62.00     	95.38     	56.08     	57.60     	5.48      
62.50     	94.56     	54.93     	56.79     	5.45      
63.00     	93.88     	54.31     	56.21     	5.42      
63.50     	93.24     	54.08     	55.90     	5.40      
64.00     	93.53     	54.48     	56.51     	5.39      
64.50     	94.69     	55.30     	57.77     	5.40      
65.00     	95.07     	55.46     	58.18     	5.41      
65.50     	94.61     	55.06     	57.33     	5.42      
66.00     	93.16     	54.06     	55.27     	5.44      
66.50     	91.90     	53.40     	53.75     	5.45      
67.00     	91.24     	53.38     	53.47     	5.46      
67.50     	91.53     	54.05     	54.36     	5.46      
68.00     	92.73     	55.47     	56.08     	5.45      
68.50     	93.42     	56.46     	57.23     	5.43      
69.00     	93.36     	56.60     	57.37     	5.41      
69.50     	92.39     	55.52     	56.01     	5.38      
70.00     	91.73     	54.58     	54.69     	5.36      
70.50     	91.94     	54.58     	54.29     	5.34      
71.00     	92.83     	55.30     	54.96     	5.33      
71.50     	94.06     	56.24     	56.32     	5.32      
72.00     	95.03     	56.72     	57.21     	5.33      
72.50     	95.13     	56.30     	56.95     	5.34      
73.00     	94.28     	54.74     	55.54     	5.35      
