Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	91.59     	47.01     	50.79     	5.27      
0.50      	91.38     	44.67     	51.07     	5.27      
1.00      	92.16     	46.82     	52.09     	5.27      
1.50      	93.30     	50.64     	53.73     	5.27      
2.00      	94.10     	52.65     	55.89     	5.27      
2.50      	94.08     	53.02     	56.88     	5.27      
3.00      	93.43     	52.41     	56.15     	5.27      
3.50      	92.71     	51.28     	54.27     	5.27      
4.00      	92.11     	50.68     	54.05     	5.27      
4.50      	91.61     	50.55     	55.20     	5.27      
5.00      	91.01     	49.95     	55.26     	5.27      
5.50      	90.50     	49.27     	54.95     	5.27      
6.00      	90.21     	48.86     	54.98     	5.27      
6.50      	90.49     	49.26     	55.21     	5.27      
7.00      	91.38     	50.61     	55.92     	5.27      
7.50      	92.69     	52.80     	58.64     	5.27      
8.00      	93.80     	54.72     	60.53     	5.27      
8.50      	94.39     	55.13     	60.63     	5.27      
9.00      	94.46     	53.43     	60.21     	5.27      
9.50      	92.72     	51.04     	57.11     	5.27      
10.00     	91.23     	49.33     	54.43     	5.27      
10.50     	91.38     	48.98     	54.35     	5.26      
11.00     	91.24     	47.91     	54.29     	5.26      
11.50     	90.31     	45.82     	53.59     	5.26      
12.00     	89.27     	44.60     	52.99     	5.26      
12.50     	88.42     	44.13     	52.58     	5.26      
13.00     	88.16     	43.55     	52.36     	5.25      
13.50     	88.33     	43.48     	52.59     	5.26      
14.00     	88.77     	44.38     	53.41     	5.28      
14.50     	89.48     	46.04     	54.98     	5.30      
15.00     	90.38     	47.85     	56.92     	5.32      
15.50     	91.46     	48.76     	58.65     	5.34      
16.00     	91.43     	48.14     	58.65     	5.36      
16.50     	90.33     	46.60     	56.93     	5.38      
17.00     	89.05     	45.61     	54.64     	5.41      
17.50     	88.22     	45.22     	53.02     	5.44      
18.00     	87.92     	45.29     	52.40     	5.45      
18.50     	87.47     	45.25     	52.14     	5.48      
19.00     	86.86     	45.06     	52.01     	5.49      
19.50     	86.33     	45.13     	51.73     	5.51      
20.00     	86.08     	45.25     	51.73     	5.53      
20.50     	86.42     	44.79     	52.98     	5.55      
21.00     	87.34     	45.14     	54.84     	5.56      
21.50     	88.86     	47.20     	56.99     	5.56      
22.00     	90.44     	48.65     	59.33     	5.55      
22.50     	91.60     	50.08     	61.08     	5.53      
23.00     	92.04     	51.90     	61.53     	5.51      
23.50     	91.88     	51.93     	60.23     	5.50      
24.00     	91.03     	50.42     	58.31     	5.48      
24.50     	89.89     	48.38     	56.38     	5.46      
25.00     	89.19     	47.48     	54.99     	5.44      
25.50     	88.64     	47.34     	54.17     	5.42      
26.00     	88.12     	47.62     	53.88     	5.41      
26.50     	87.71     	47.23     	53.63     	5.39      
27.00     	87.48     	46.11     	53.37     	5.38      
27.50     	87.64     	45.72     	54.01     	5.36      
28.00     	88.05     	46.18     	55.02     	5.34      
28.50     	88.26     	47.54     	54.77     	5.33      
29.00     	88.93     	48.27     	55.29     	5.31      
29.50     	90.47     	48.11     	57.64     	5.29      
