Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	66.22     	64.57     	62.52     	5.02      
0.50      	66.22     	64.57     	62.52     	5.02      
1.00      	69.99     	68.38     	65.99     	5.02      
1.50      	70.94     	68.37     	66.18     	5.03      
2.00      	70.03     	65.86     	64.23     	5.05      
2.50      	71.53     	66.01     	64.69     	5.07      
3.00      	73.04     	66.94     	65.74     	5.10      
3.50      	73.11     	67.17     	65.93     	5.13      
4.00      	72.21     	66.66     	65.17     	5.16      
4.50      	70.90     	65.77     	64.14     	5.18      
5.00      	69.68     	65.02     	63.70     	5.19      
5.50      	68.51     	64.32     	63.63     	5.19      
6.00      	67.33     	63.53     	63.41     	5.17      
6.50      	66.61     	62.99     	62.99     	5.13      
7.00      	66.64     	63.06     	62.70     	5.08      
7.50      	67.18     	63.95     	63.44     	5.02      
8.00      	67.78     	65.23     	65.05     	4.95      
8.50      	67.87     	65.96     	66.32     	4.89      
9.00      	67.47     	66.35     	66.76     	4.83      
9.50      	66.90     	67.09     	66.51     	4.79      
10.00     	66.06     	67.50     	66.39     	4.77      
10.50     	65.27     	67.22     	67.07     	4.76      
11.00     	66.20     	67.77     	68.16     	4.77      
11.50     	68.58     	69.60     	69.26     	4.80      
12.00     	70.01     	71.56     	70.19     	4.83      
12.50     	70.11     	72.87     	71.03     	4.87      
13.00     	69.53     	73.17     	71.78     	4.92      
13.50     	68.57     	72.85     	71.57     	4.97      
14.00     	67.40     	72.33     	70.24     	5.01      
14.50     	66.00     	71.71     	69.24     	5.05      
15.00     	64.78     	70.94     	68.82     	5.09      
15.50     	64.51     	69.96     	68.02     	5.11      
16.00     	65.48     	69.29     	67.24     	5.13      
16.50     	67.39     	69.45     	67.31     	5.15      
17.00     	68.73     	69.83     	67.95     	5.16      
17.50     	68.75     	69.81     	68.42     	5.16      
18.00     	68.10     	69.17     	67.71     	5.16      
18.50     	67.26     	68.20     	66.36     	5.16      
19.00     	66.36     	67.47     	65.90     	5.15      
19.50     	64.97     	66.93     	65.78     	5.15      
20.00     	62.93     	66.40     	64.99     	5.14      
20.50     	62.24     	66.22     	64.61     	5.13      
21.00     	64.01     	66.78     	65.39     	5.13      
21.50     	66.80     	68.17     	66.52     	5.12      
22.00     	69.27     	69.65     	67.71     	5.12      
22.50     	70.54     	70.14     	69.06     	5.11      
23.00     	70.77     	70.25     	69.80     	5.10      
23.50     	70.40     	70.60     	69.31     	5.10      
24.00     	69.64     	70.35     	68.13     	5.09      
24.50     	68.52     	69.03     	66.77     	5.08      
25.00     	66.75     	67.05     	65.51     	5.08      
25.50     	64.57     	65.07     	64.44     	5.07      
26.00     	62.65     	63.85     	63.53     	5.07      
26.50     	62.26     	63.46     	62.86     	5.06      
27.00     	63.98     	63.67     	62.67     	5.06      
27.50     	65.93     	64.36     	63.56     	5.05      
28.00     	66.90     	65.25     	65.07     	5.05      
28.50     	67.16     	65.92     	65.55     	5.04      
29.00     	67.17     	66.37     	65.35     	5.04      
29.50     	67.34     	66.81     	65.70     	5.03      
30.00     	67.58     	67.20     	66.25     	5.03      
30.50     	67.63     	67.42     	66.46     	5.02      
31.00     	67.03     	67.46     	66.56     	5.02      
31.50     	66.18     	67.47     	66.72     	5.02      
32.00     	66.61     	67.78     	66.99     	5.02      
32.50     	68.57     	68.37     	67.42     	5.01      
33.00     	71.18     	68.95     	67.95     	5.01      
33.50     	72.88     	69.19     	68.17     	5.01      
34.00     	72.86     	68.90     	67.79     	5.02      
34.50     	72.16     	68.11     	67.01     	5.02      
35.00     	71.42     	67.02     	65.91     	5.02      
35.50     	70.62     	65.94     	64.40     	5.02      
36.00     	69.42     	64.95     	62.98     	5.03      
36.50     	67.54     	64.02     	62.35     	5.04      
37.00     	66.29     	63.25     	62.06     	5.04      
37.50     	66.86     	62.81     	61.59     	5.05      
38.00     	68.12     	62.86     	61.68     	5.06      
38.50     	68.95     	63.29     	62.43     	5.08      
39.00     	68.84     	63.55     	62.72     	5.09      
39.50     	67.92     	63.44     	62.35     	5.10      
40.00     	66.74     	63.01     	61.91     	5.11      
40.50     	65.66     	62.49     	61.75     	5.12      
41.00     	64.83     	62.15     	61.98     	5.13      
41.50     	63.83     	62.30     	61.96     	5.14      
42.00     	62.44     	63.05     	61.22     	5.15      
42.50     	61.85     	63.72     	60.87     	5.15      
43.00     	63.09     	64.33     	61.95     	5.16      
43.50     	66.22     	66.42     	64.67     	5.16      
44.00     	70.05     	69.79     	68.06     	5.16      
44.50     	72.54     	72.65     	70.39     	5.17      
45.00     	73.69     	74.29     	71.60     	5.16      
45.50     	74.32     	74.68     	72.23     	5.16      
46.00     	74.75     	74.37     	72.08     	5.16      
46.50     	74.98     	73.81     	71.09     	5.16      
47.00     	74.66     	73.02     	70.00     	5.15      
47.50     	74.29     	71.90     	69.16     	5.15      
48.00     	75.17     	70.35     	68.37     	5.14      
