Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	103.45    	45.19     	41.56     	4.84      
0.50      	103.35    	45.21     	42.09     	4.84      
1.00      	103.84    	45.43     	42.95     	4.84      
1.50      	104.93    	45.77     	44.11     	4.84      
2.00      	105.81    	46.01     	44.70     	4.84      
2.50      	106.00    	46.05     	45.44     	4.84      
3.00      	105.40    	45.89     	46.37     	4.84      
3.50      	104.80    	45.72     	45.51     	4.84      
4.00      	103.74    	45.49     	44.30     	4.84      
4.50      	101.29    	45.02     	42.74     	4.84      
5.00      	99.73     	44.84     	42.03     	4.84      
5.50      	98.75     	44.87     	41.87     	4.84      
6.00      	97.69     	44.94     	41.33     	4.84      
6.50      	96.90     	45.10     	41.20     	4.84      
7.00      	96.76     	45.39     	42.04     	4.84      
7.50      	97.59     	45.88     	42.80     	4.84      
8.00      	98.87     	46.38     	43.54     	4.84      
8.50      	100.06    	46.74     	44.41     	4.84      
9.00      	101.07    	46.93     	45.00     	4.84      
9.50      	101.91    	46.99     	45.31     	4.84      
10.00     	103.51    	47.14     	45.19     	4.84      
10.50     	104.82    	47.17     	44.61     	4.84      
11.00     	105.38    	46.99     	43.16     	4.84      
11.50     	106.06    	46.85     	42.75     	4.77      
12.00     	106.69    	46.72     	42.55     	4.68      
12.50     	106.70    	46.48     	41.18     	4.63      
13.00     	106.54    	46.26     	40.03     	4.61      
13.50     	106.24    	46.07     	39.07     	4.61      
14.00     	106.30    	46.00     	39.04     	4.61      
14.50     	106.23    	45.93     	38.92     	4.61      
15.00     	105.64    	45.78     	38.25     	4.61      
15.50     	104.33    	45.50     	37.99     	4.61      
16.00     	102.65    	45.18     	37.99     	4.61      
16.50     	101.80    	45.10     	38.93     	4.61      
17.00     	100.92    	45.04     	39.44     	4.61      
17.50     	100.02    	45.00     	39.35     	4.61      
18.00     	99.82     	45.12     	39.02     	4.61      
18.50     	99.82     	45.25     	38.81     	4.61      
19.00     	99.88     	45.37     	39.61     	4.62      
19.50     	99.62     	45.36     	40.11     	4.62      
20.00     	99.06     	45.26     	40.29     	4.63      
20.50     	98.71     	45.19     	40.02     	4.63      
21.00     	98.40     	45.14     	39.64     	4.63      
21.50     	98.19     	45.13     	39.12     	4.63      
22.00     	98.04     	45.14     	39.28     	4.63      
22.50     	97.96     	45.18     	40.03     	4.63      
23.00     	97.61     	45.17     	40.24     	4.63      
23.50     	97.48     	45.23     	40.57     	4.63      
24.00     	98.14     	45.48     	41.52     	4.63      
24.50     	99.40     	45.85     	42.98     	4.63      
25.00     	101.05    	46.24     	44.79     	4.63      
25.50     	102.23    	46.46     	45.04     	4.67      
26.00     	103.22    	46.56     	45.07     	4.75      
26.50     	103.82    	46.53     	44.73     	4.88      
27.00     	104.14    	46.43     	45.14     	4.92      
27.50     	104.30    	46.31     	45.98     	4.92      
28.00     	103.77    	46.08     	45.47     	4.92      
28.50     	103.60    	46.00     	45.07     	4.90      
29.00     	104.34    	46.15     	44.96     	4.82      
29.50     	104.89    	46.27     	44.63     	4.67      
30.00     	105.31    	46.35     	44.15     	4.46      
30.50     	105.30    	46.31     	44.25     	4.43      
31.00     	105.21    	46.25     	44.41     	4.43      
31.50     	105.00    	46.17     	44.40     	4.43      
32.00     	104.95    	46.12     	44.27     	4.43      
32.50     	105.16    	46.14     	43.95     	4.43      
33.00     	105.23    	46.11     	44.19     	4.43      
33.50     	105.22    	46.07     	44.67     	4.43      
34.00     	105.79    	46.14     	44.04     	4.43      
34.50     	106.50    	46.23     	43.70     	4.43      
35.00     	107.54    	46.35     	44.15     	4.43      
35.50     	108.46    	46.42     	44.37     	4.43      
36.00     	109.32    	46.43     	44.46     	4.43      
36.50     	109.81    	46.35     	44.43     	4.43      
37.00     	110.21    	46.25     	44.18     	4.43      
37.50     	110.31    	46.11     	42.97     	4.43      
38.00     	110.26    	45.98     	41.88     	4.43      
38.50     	110.03    	45.86     	40.93     	4.43      
39.00     	109.90    	45.82     	40.81     	4.43      
39.50     	109.82    	45.83     	41.05     	4.43      
40.00     	109.40    	45.82     	41.35     	4.43      
40.50     	108.90    	45.82     	41.69     	4.43      
41.00     	108.09    	45.79     	42.27     	4.43      
41.50     	107.66    	45.87     	42.74     	4.43      
42.00     	107.80    	46.08     	43.06     	4.43      
42.50     	108.14    	46.32     	43.09     	4.43      
43.00     	108.58    	46.54     	42.99     	4.43      
43.50     	109.13    	46.72     	43.52     	4.41      
44.00     	109.54    	46.82     	43.60     	4.38      
44.50     	109.55    	46.78     	42.32     	4.37      
45.00     	109.34    	46.66     	41.20     	4.36      
45.50     	108.93    	46.49     	40.22     	4.36      
46.00     	108.51    	46.31     	39.51     	4.36      
46.50     	108.03    	46.14     	38.92     	4.36      
47.00     	106.98    	45.86     	39.05     	4.36      
47.50     	106.46    	45.73     	39.15     	4.36      
48.00     	106.79    	45.78     	39.23     	4.36      
48.50     	107.32    	45.85     	39.72     	4.36      
49.00     	107.93    	45.90     	40.36     	4.36      
49.50     	108.30    	45.86     	40.94     	4.25      
50.00     	108.49    	45.74     	41.37     	4.15      
50.50     	108.29    	45.53     	41.49     	4.04      
51.00     	107.93    	45.30     	41.16     	4.00      
51.50     	107.44    	45.09     	40.50     	4.00      
52.00     	106.81    	44.90     	38.97     	4.00      
52.50     	106.21    	44.78     	37.51     	4.00      
53.00     	106.09    	44.82     	38.36     	4.00      
53.50     	105.93    	44.90     	39.04     	4.00      
54.00     	105.72    	44.98     	39.35     	4.00      
54.50     	105.55    	45.09     	39.63     	4.00      
55.00     	105.42    	45.21     	39.90     	4.00      
55.50     	105.06    	45.29     	39.27     	4.00      
56.00     	104.71    	45.37     	38.62     	4.00      
56.50     	105.01    	45.59     	39.78     	4.00      
57.00     	105.50    	45.83     	40.80     	4.00      
57.50     	106.31    	46.11     	41.58     	4.00      
58.00     	107.01    	46.31     	41.75     	4.14      
58.50     	107.65    	46.46     	41.59     	4.35      
59.00     	107.89    	46.48     	41.08     	4.68      
59.50     	108.00    	46.46     	40.71     	4.96      
60.00     	107.69    	46.36     	41.00     	4.96      
60.50     	107.26    	46.25     	40.90     	4.96      
61.00     	106.66    	46.14     	40.33     	4.96      
61.50     	106.20    	46.10     	40.56     	4.96      
62.00     	105.80    	46.11     	41.19     	4.96      
62.50     	105.29    	46.10     	41.89     	4.96      
63.00     	104.83    	46.12     	42.55     	4.96      
63.50     	105.03    	46.28     	42.81     	4.96      
64.00     	105.40    	46.44     	43.24     	4.96      
64.50     	106.02    	46.61     	43.95     	4.96      
65.00     	106.70    	46.74     	43.98     	4.79      
65.50     	107.40    	46.81     	43.71     	4.55      
66.00     	107.85    	46.78     	42.39     	4.42      
66.50     	108.16    	46.69     	41.63     	4.33      
67.00     	108.12    	46.51     	42.52     	4.33      
67.50     	108.04    	46.34     	42.27     	4.33      
68.00     	107.94    	46.20     	41.15     	4.33      
68.50     	107.60    	46.03     	40.55     	4.33      
69.00     	107.18    	45.89     	40.06     	4.33      
69.50     	106.51    	45.74     	39.60     	4.33      
70.00     	106.15    	45.69     	39.93     	4.33      
70.50     	106.21    	45.76     	41.36     	4.33      
71.00     	106.52    	45.88     	41.58     	4.33      
71.50     	106.95    	46.00     	41.42     	4.34      
72.00     	107.52    	46.12     	42.05     	4.37      
72.50     	108.20    	46.22     	42.95     	4.43      
73.00     	109.04    	46.32     	44.28     	4.53      
73.50     	109.88    	46.38     	44.65     	4.57      
74.00     	110.71    	46.40     	44.62     	4.57      
74.50     	111.36    	46.37     	44.99     	4.57      
75.00     	111.80    	46.29     	45.36     	4.57      
75.50     	111.82    	46.14     	45.71     	4.57      
76.00     	111.67    	45.99     	45.61     	4.57      
76.50     	111.43    	45.87     	45.28     	4.57      
77.00     	111.90    	45.95     	45.82     	4.57      
77.50     	112.17    	46.01     	46.01     	4.57      
78.00     	112.01    	46.00     	45.51     	4.57      
78.50     	111.84    	46.00     	45.27     	4.41      
79.00     	111.66    	46.01     	45.17     	4.18      
79.50     	111.35    	46.01     	45.81     	4.11      
80.00     	110.99    	46.00     	46.07     	4.07      
80.50     	110.54    	45.99     	45.06     	4.07      
81.00     	110.00    	45.96     	44.29     	4.07      
81.50     	109.38    	45.93     	43.74     	4.07      
82.00     	108.57    	45.86     	43.26     	4.07      
82.50     	107.71    	45.79     	42.81     	4.07      
83.00     	107.00    	45.76     	42.02     	4.07      
83.50     	106.47    	45.76     	41.42     	4.07      
84.00     	106.37    	45.85     	41.23     	4.07      
84.50     	106.43    	45.94     	41.35     	4.07      
85.00     	106.59    	46.01     	41.65     	4.07      
85.50     	106.89    	46.06     	42.40     	4.07      
86.00     	107.01    	46.03     	42.99     	4.04      
86.50     	106.57    	45.84     	42.98     	3.93      
87.00     	106.77    	45.78     	42.88     	4.03      
87.50     	107.46    	45.83     	42.70     	4.30      
88.00     	107.12    	45.63     	43.63     	4.43      
88.50     	106.64    	45.42     	44.21     	4.50      
89.00     	106.05    	45.22     	43.87     	4.50      
89.50     	106.21    	45.22     	43.80     	4.50      
90.00     	106.42    	45.25     	43.76     	4.49      
90.50     	105.21    	45.00     	43.22     	4.42      
91.00     	104.06    	44.81     	43.17     	4.28      
91.50     	102.94    	44.68     	43.54     	4.10      
92.00     	103.99    	45.06     	44.22     	4.09      
92.50     	104.93    	45.40     	45.03     	4.09      
93.00     	105.44    	45.60     	46.02     	4.09      
93.50     	104.85    	45.52     	46.11     	4.09      
94.00     	103.93    	45.37     	46.00     	4.04      
94.50     	103.05    	45.25     	46.21     	3.77      
95.00     	103.54    	45.48     	47.91     	3.65      
95.50     	104.96    	45.90     	50.64     	3.65      
96.00     	104.48    	45.87     	50.87     	3.62      
96.50     	104.40    	45.92     	50.52     	3.56      
97.00     	104.81    	46.06     	49.48     	3.45      
97.50     	105.33    	46.21     	49.39     	3.45      
98.00     	105.48    	46.26     	49.33     	3.45      
98.50     	105.13    	46.19     	49.25     	3.45      
99.00     	104.52    	46.07     	48.38     	3.45      
99.50     	103.66    	45.93     	48.16     	3.45      
100.00    	102.48    	45.76     	48.92     	3.45      
100.50    	102.62    	45.92     	48.34     	3.45      
101.00    	102.97    	46.12     	47.72     	3.45      
101.50    	103.37    	46.32     	47.31     	3.45      
102.00    	103.21    	46.34     	46.82     	3.45      
102.50    	102.91    	46.31     	46.40     	3.52      
103.00    	102.67    	46.27     	46.38     	3.91      
103.50    	102.42    	46.21     	45.76     	4.14      
104.00    	102.15    	46.15     	44.48     	4.19      
104.50    	101.81    	46.07     	43.12     	4.21      
105.00    	101.44    	45.99     	41.73     	4.21      
105.50    	102.08    	46.13     	41.32     	4.21      
106.00    	102.83    	46.27     	41.04     	4.21      
106.50    	103.08    	46.25     	40.74     	4.21      
107.00    	103.23    	46.18     	40.46     	4.16      
107.50    	103.07    	46.03     	40.31     	3.95      
108.00    	103.41    	45.99     	40.76     	3.73      
108.50    	104.27    	46.06     	41.87     	3.49      
109.00    	105.41    	46.16     	42.29     	3.19      
109.50    	106.65    	46.26     	42.40     	2.89      
110.00    	108.17    	46.36     	41.39     	2.85      
110.50    	109.16    	46.31     	40.67     	2.82      
111.00    	109.28    	46.06     	40.40     	2.82      
111.50    	109.12    	45.77     	39.61     	2.99      
112.00    	108.78    	45.51     	38.51     	3.27      
112.50    	107.96    	45.21     	37.29     	3.40      
113.00    	107.00    	44.98     	36.05     	3.49      
113.50    	105.98    	44.82     	36.07     	3.50      
114.00    	105.03    	44.74     	36.20     	3.50      
114.50    	104.79    	44.87     	36.93     	3.50      
115.00    	104.52    	45.01     	37.54     	3.56      
115.50    	104.17    	45.13     	37.74     	3.80      
116.00    	103.73    	45.22     	37.59     	4.16      
116.50    	103.14    	45.26     	36.80     	4.74      
117.00    	102.69    	45.31     	37.33     	5.05      
117.50    	102.40    	45.39     	39.36     	5.05      
118.00    	102.09    	45.45     	39.05     	5.05      
118.50    	101.77    	45.50     	37.04     	5.05      
119.00    	101.55    	45.56     	36.81     	5.05      
119.50    	101.37    	45.62     	37.30     	5.05      
120.00    	101.19    	45.67     	36.86     	5.05      
120.50    	101.00    	45.71     	36.48     	5.05      
121.00    	100.87    	45.76     	37.68     	5.05      
121.50    	100.70    	45.79     	38.68     	5.05      
122.00    	100.46    	45.79     	39.23     	5.05      
122.50    	100.79    	45.92     	40.08     	5.05      
123.00    	101.53    	46.12     	41.14     	5.05      
123.50    	102.49    	46.33     	42.30     	5.05      
124.00    	103.36    	46.46     	43.25     	5.06      
124.50    	103.58    	46.40     	42.90     	5.09      
125.00    	103.63    	46.28     	43.79     	5.11      
125.50    	103.45    	46.12     	46.44     	5.11      
126.00    	103.34    	46.00     	45.20     	5.11      
126.50    	103.25    	45.92     	41.88     	5.11      
127.00    	102.92    	45.82     	40.86     	5.11      
127.50    	102.52    	45.73     	40.30     	5.11      
128.00    	101.79    	45.61     	40.73     	5.11      
128.50    	101.49    	45.61     	41.56     	5.11      
129.00    	101.92    	45.80     	43.05     	5.11      
129.50    	103.09    	46.12     	44.01     	5.11      
130.00    	104.61    	46.47     	44.71     	5.11      
130.50    	105.57    	46.61     	46.25     	4.95      
131.00    	106.33    	46.62     	47.07     	4.81      
131.50    	106.62    	46.50     	46.29     	4.73      
132.00    	106.80    	46.35     	45.29     	4.70      
132.50    	106.91    	46.20     	44.15     	4.70      
133.00    	106.91    	46.07     	42.92     	4.70      
133.50    	106.66    	45.92     	41.88     	4.70      
134.00    	105.60    	45.65     	41.48     	4.70      
134.50    	105.10    	45.56     	42.29     	4.70      
135.00    	105.05    	45.60     	44.07     	4.70      
135.50    	105.76    	45.82     	44.33     	4.70      
136.00    	106.54    	46.02     	44.59     	4.66      
136.50    	107.25    	46.14     	45.37     	4.49      
137.00    	107.54    	46.12     	45.12     	4.28      
137.50    	107.55    	45.99     	44.17     	4.03      
138.00    	107.49    	45.82     	43.53     	4.01      
138.50    	107.25    	45.61     	42.84     	4.01      
139.00    	106.54    	45.33     	41.96     	4.01      
139.50    	106.31    	45.18     	41.25     	4.01      
140.00    	106.34    	45.12     	40.62     	4.01      
140.50    	106.25    	45.05     	40.65     	4.01      
141.00    	106.37    	45.04     	41.02     	4.01      
141.50    	106.81    	45.11     	41.96     	4.01      
142.00    	107.74    	45.26     	43.55     	4.01      
142.50    	108.82    	45.42     	45.11     	4.01      
143.00    	109.67    	45.50     	44.62     	4.01      
143.50    	110.36    	45.51     	42.93     	4.07      
144.00    	110.85    	45.48     	39.84     	4.20      
144.50    	110.61    	45.30     	39.13     	4.22      
145.00    	110.31    	45.17     	39.11     	4.22      
145.50    	110.64    	45.22     	39.88     	4.22      
146.00    	110.87    	45.29     	40.67     	4.31      
146.50    	111.00    	45.37     	41.48     	4.48      
147.00    	111.10    	45.47     	41.27     	4.67      
147.50    	111.08    	45.55     	41.05     	4.83      
148.00    	110.39    	45.52     	42.01     	4.83      
148.50    	109.69    	45.50     	42.33     	4.83      
149.00    	108.99    	45.51     	41.87     	4.83      
149.50    	108.35    	45.55     	41.82     	4.83      
150.00    	107.73    	45.62     	41.94     	4.83      
150.50    	107.45    	45.75     	42.82     	4.83      
151.00    	107.41    	45.93     	43.41     	4.83      
151.50    	107.81    	46.16     	43.48     	4.83      
152.00    	108.37    	46.37     	44.92     	4.83      
152.50    	109.03    	46.54     	46.61     	4.83      
153.00    	109.96    	46.70     	45.89     	4.83      
153.50    	110.53    	46.72     	45.39     	4.83      
154.00    	110.66    	46.60     	45.15     	4.83      
154.50    	110.40    	46.39     	44.32     	4.83      
155.00    	110.10    	46.19     	43.36     	4.83      
155.50    	110.01    	46.07     	42.43     	4.83      
156.00    	109.67    	45.94     	41.76     	4.83      
156.50    	109.12    	45.80     	41.30     	4.83      
157.00    	108.83    	45.75     	41.57     	4.83      
157.50    	108.95    	45.82     	42.14     	4.83      
158.00    	109.86    	46.05     	43.19     	4.83      
158.50    	110.84    	46.26     	43.70     	4.83      
159.00    	111.80    	46.41     	44.01     	4.81      
159.50    	112.34    	46.42     	44.37     	4.55      
160.00    	112.44    	46.31     	44.04     	4.39      
160.50    	112.04    	46.09     	42.91     	4.32      
161.00    	111.21    	45.81     	41.73     	4.31      
161.50    	110.28    	45.57     	40.52     	4.31      
162.00    	109.30    	45.39     	39.24     	4.31      
162.50    	108.19    	45.23     	38.94     	4.31      
163.00    	106.95    	45.11     	39.53     	4.31      
163.50    	106.12    	45.11     	39.65     	4.31      
164.00    	105.65    	45.22     	39.93     	4.31      
164.50    	106.11    	45.50     	40.96     	4.31      
165.00    	106.85    	45.81     	41.34     	4.31      
165.50    	107.78    	46.07     	41.31     	4.31      
166.00    	108.56    	46.22     	42.15     	4.29      
166.50    	109.11    	46.25     	42.46     	4.27      
167.00    	109.24    	46.13     	41.81     	4.26      
167.50    	108.96    	45.93     	41.53     	4.26      
168.00    	108.52    	45.72     	41.37     	4.26      
168.50    	107.89    	45.52     	41.25     	4.26      
169.00    	108.24    	45.59     	41.69     	4.26      
169.50    	109.23    	45.82     	42.53     	4.26      
170.00    	110.21    	46.03     	43.64     	4.26      
170.50    	110.92    	46.16     	44.32     	4.24      
171.00    	111.32    	46.20     	44.56     	4.20      
171.50    	110.94    	46.07     	43.54     	4.13      
172.00    	110.43    	45.93     	42.54     	4.07      
172.50    	109.84    	45.81     	41.83     	4.07      
173.00    	109.19    	45.73     	40.47     	4.07      
173.50    	108.47    	45.68     	39.00     	4.07      
174.00    	107.20    	45.56     	38.94     	4.07      
174.50    	106.26    	45.55     	39.22     	4.07      
175.00    	105.66    	45.64     	39.85     	4.07      
175.50    	105.95    	45.93     	40.52     	4.07      
176.00    	106.39    	46.22     	41.20     	4.07      
176.50    	106.92    	46.48     	41.89     	4.07      
177.00    	107.30    	46.64     	42.71     	4.12      
177.50    	107.57    	46.72     	43.41     	4.20      
178.00    	107.35    	46.66     	42.36     	4.25      
178.50    	106.93    	46.55     	41.41     	4.28      
179.00    	106.27    	46.41     	40.55     	4.28      
179.50    	105.87    	46.37     	40.50     	4.28      
180.00    	105.49    	46.36     	40.51     	4.28      
180.50    	104.93    	46.35     	40.14     	4.28      
181.00    	104.55    	46.40     	39.81     	4.28      
181.50    	104.30    	46.49     	39.52     	4.28      
182.00    	105.38    	46.85     	39.68     	4.28      
182.50    	106.43    	47.16     	40.46     	4.28      
183.00    	107.37    	47.36     	42.30     	4.28      
183.50    	107.83    	47.38     	43.22     	4.27      
184.00    	108.45    	47.38     	43.72     	4.25      
184.50    	110.52    	47.64     	43.60     	4.23      
185.00    	112.81    	47.86     	43.67     	4.22      
185.50    	115.27    	48.01     	43.89     	4.22      
186.00    	112.88    	47.10     	42.99     	4.22      
186.50    	110.98    	46.37     	41.99     	4.22      
187.00    	110.25    	46.01     	40.87     	4.22      
187.50    	109.64    	45.76     	40.70     	4.22      
188.00    	109.19    	45.63     	40.83     	4.22      
188.50    	109.36    	45.65     	40.90     	4.22      
189.00    	109.79    	45.74     	41.31     	4.22      
189.50    	110.39    	45.83     	41.95     	4.22      
190.00    	111.30    	45.93     	42.66     	4.31      
190.50    	111.82    	45.89     	42.73     	4.40      
191.00    	111.84    	45.70     	42.03     	4.52      
191.50    	112.06    	45.54     	41.64     	4.53      
192.00    	111.88    	45.31     	41.12     	4.53      
192.50    	110.62    	44.89     	40.13     	4.53      
193.00    	109.89    	44.65     	39.66     	4.53      
193.50    	109.38    	44.54     	39.49     	4.53      
194.00    	108.61    	44.43     	40.04     	4.53      
194.50    	108.55    	44.52     	40.76     	4.53      
195.00    	109.27    	44.79     	41.67     	4.53      
195.50    	109.90    	45.02     	42.40     	4.53      
196.00    	110.43    	45.18     	43.33     	4.49      
196.50    	110.78    	45.26     	44.70     	4.38      
197.00    	110.79    	45.25     	43.77     	4.32      
197.50    	110.66    	45.20     	42.46     	4.29      
198.00    	110.35    	45.12     	42.26     	4.29      
198.50    	110.13    	45.09     	41.98     	4.29      
199.00    	110.30    	45.17     	41.74     	4.31      
199.50    	113.57    	45.88     	42.41     	4.53      
200.00    	114.36    	46.00     	42.49     	4.63      
200.50    	113.12    	45.66     	42.09     	4.63      
201.00    	112.24    	45.44     	42.63     	4.63      
201.50    	111.60    	45.33     	43.04     	4.63      
202.00    	111.30    	45.36     	43.25     	4.63      
202.50    	111.71    	45.57     	42.96     	4.63      
203.00    	112.11    	45.80     	42.62     	4.59      
203.50    	112.19    	45.95     	42.38     	4.46      
204.00    	111.95    	46.02     	43.25     	4.36      
204.50    	111.58    	46.07     	44.33     	4.27      
205.00    	111.11    	46.09     	44.23     	4.27      
205.50    	110.51    	46.10     	43.91     	4.27      
206.00    	109.82    	46.10     	43.43     	4.27      
206.50    	110.20    	46.33     	44.40     	4.27      
207.00    	110.60    	46.54     	44.56     	4.27      
207.50    	111.02    	46.71     	43.69     	4.27      
208.00    	111.39    	46.83     	44.71     	4.23      
208.50    	111.77    	46.90     	45.62     	4.16      
209.00    	112.19    	46.93     	45.59     	4.04      
209.50    	112.07    	46.82     	44.90     	4.01      
210.00    	111.67    	46.64     	43.92     	4.01      
210.50    	110.78    	46.38     	42.73     	4.01      
211.00    	109.82    	46.13     	41.63     	4.01      
211.50    	108.80    	45.92     	40.63     	4.01      
212.00    	108.69    	45.93     	40.81     	4.01      
212.50    	108.95    	46.02     	41.29     	4.01      
213.00    	109.75    	46.21     	42.13     	4.01      
213.50    	110.70    	46.37     	42.50     	4.01      
214.00    	111.60    	46.44     	42.72     	4.01      
214.50    	111.98    	46.35     	42.98     	3.99      
215.00    	112.10    	46.16     	43.42     	3.98      
215.50    	112.04    	45.93     	43.99     	3.98      
216.00    	111.56    	45.64     	44.12     	3.98      
216.50    	111.49    	45.47     	44.44     	3.98      
217.00    	111.97    	45.46     	45.01     	3.98      
217.50    	112.33    	45.44     	45.24     	3.98      
218.00    	112.63    	45.41     	45.49     	3.98      
218.50    	112.80    	45.37     	46.02     	3.96      
219.00    	112.63    	45.27     	45.56     	3.95      
219.50    	112.25    	45.16     	44.60     	3.93      
220.00    	111.07    	44.91     	43.90     	3.93      
220.50    	109.79    	44.71     	43.39     	3.93      
221.00    	108.38    	44.54     	43.14     	3.93      
221.50    	107.08    	44.47     	42.93     	3.93      
222.00    	105.96    	44.48     	42.73     	3.93      
222.50    	105.56    	44.68     	42.55     	3.93      
223.00    	105.28    	44.90     	42.61     	3.93      
223.50    	105.11    	45.12     	42.87     	3.93      
224.00    	104.71    	45.24     	43.15     	3.95      
