Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	93.48     	61.29     	61.13     	4.65      
0.50      	93.00     	61.18     	60.08     	4.65      
1.00      	93.55     	60.45     	60.70     	4.65      
1.50      	94.61     	60.05     	62.00     	4.64      
2.00      	95.58     	60.87     	62.82     	4.63      
2.50      	95.81     	61.41     	62.84     	4.73      
3.00      	95.42     	60.95     	62.12     	4.94      
3.50      	95.78     	59.56     	61.03     	5.00      
4.00      	96.31     	58.41     	60.20     	4.96      
4.50      	96.17     	59.03     	60.39     	4.96      
5.00      	96.50     	60.26     	61.28     	4.96      
5.50      	97.42     	61.23     	62.27     	4.96      
6.00      	97.60     	61.13     	62.02     	4.95      
6.50      	97.58     	60.32     	61.34     	5.01      
7.00      	97.75     	59.39     	60.93     	5.20      
7.50      	96.82     	58.52     	59.63     	5.28      
8.00      	95.27     	57.99     	58.11     	5.25      
8.50      	95.32     	58.31     	59.01     	5.25      
9.00      	95.96     	59.16     	60.76     	5.25      
9.50      	96.33     	60.20     	61.98     	5.25      
10.00     	96.66     	60.96     	62.48     	5.17      
10.50     	96.95     	61.30     	62.62     	5.03      
11.00     	97.23     	61.36     	63.50     	5.01      
11.50     	97.67     	62.06     	64.49     	5.03      
12.00     	98.38     	63.96     	65.08     	5.03      
12.50     	98.94     	65.36     	66.25     	5.03      
13.00     	99.62     	66.37     	67.85     	5.03      
13.50     	100.95    	67.63     	69.18     	5.02      
14.00     	101.56    	67.58     	69.12     	5.07      
14.50     	101.57    	66.38     	67.77     	5.16      
15.00     	102.19    	65.51     	66.43     	5.17      
15.50     	102.99    	64.00     	65.50     	5.16      
16.00     	103.55    	61.67     	65.12     	5.16      
16.50     	103.58    	61.80     	64.50     	5.16      
17.00     	103.75    	62.92     	64.18     	5.16      
17.50     	105.08    	62.10     	65.08     	5.15      
18.00     	105.36    	61.88     	64.93     	5.25      
18.50     	104.18    	61.97     	63.40     	5.44      
19.00     	102.57    	60.00     	61.86     	5.48      
19.50     	101.61    	58.54     	60.84     	5.45      
20.00     	101.93    	59.41     	60.71     	5.45      
20.50     	102.21    	60.28     	61.27     	5.45      
21.00     	102.15    	60.87     	61.76     	5.45      
21.50     	101.99    	61.98     	61.02     	5.45      
22.00     	101.39    	62.04     	60.57     	5.45      
22.50     	101.00    	61.79     	60.87     	5.45      
23.00     	102.14    	63.77     	61.37     	5.45      
23.50     	102.06    	64.91     	61.80     	5.45      
24.00     	100.62    	64.29     	61.70     	5.45      
24.50     	99.91     	62.76     	60.47     	5.46      
25.00     	99.10     	61.60     	59.04     	5.48      
25.50     	97.97     	61.36     	57.99     	5.48      
26.00     	96.85     	61.13     	57.58     	5.48      
