Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	76.38     	71.66     	85.70     	5.08      
0.50      	76.88     	71.90     	85.32     	5.08      
1.00      	77.39     	72.13     	84.93     	5.08      
1.50      	78.19     	72.48     	85.44     	5.08      
2.00      	79.01     	72.80     	85.99     	5.08      
2.50      	79.18     	72.79     	86.15     	5.09      
3.00      	79.29     	72.71     	86.25     	5.09      
3.50      	79.09     	72.47     	84.81     	5.09      
4.00      	78.83     	72.21     	83.03     	5.09      
4.50      	79.00     	72.16     	82.76     	5.09      
5.00      	79.28     	72.16     	82.94     	5.09      
5.50      	79.16     	71.98     	82.85     	5.07      
6.00      	78.88     	71.75     	82.66     	5.04      
6.50      	78.04     	71.28     	82.48     	5.01      
7.00      	76.89     	70.71     	82.31     	4.99      
7.50      	75.66     	70.17     	81.32     	4.98      
8.00      	74.37     	69.68     	79.68     	4.98      
8.50      	73.76     	69.59     	78.84     	4.98      
9.00      	73.87     	69.90     	78.85     	4.98      
9.50      	73.96     	70.24     	78.55     	4.99      
10.00     	74.00     	70.59     	77.82     	5.00      
10.50     	73.95     	70.90     	77.06     	5.02      
11.00     	73.68     	71.12     	76.22     	5.03      
11.50     	73.46     	71.36     	75.51     	5.04      
12.00     	73.38     	71.68     	75.36     	5.04      
12.50     	73.41     	72.06     	75.48     	5.04      
13.00     	74.32     	72.85     	77.66     	5.04      
13.50     	75.18     	73.58     	79.69     	5.04      
14.00     	75.55     	74.01     	80.07     	5.03      
14.50     	75.91     	74.39     	80.42     	5.02      
15.00     	75.81     	74.50     	80.09     	5.01      
15.50     	75.71     	74.57     	79.76     	5.01      
16.00     	75.51     	74.56     	79.07     	5.01      
16.50     	75.30     	74.52     	78.36     	5.01      
17.00     	75.71     	74.76     	79.49     	5.01      
17.50     	76.23     	75.01     	80.92     	5.01      
18.00     	76.28     	74.97     	80.62     	5.02      
18.50     	76.23     	74.82     	79.91     	5.03      
19.00     	76.04     	74.56     	79.84     	5.04      
19.50     	75.79     	74.23     	80.02     	5.05      
20.00     	75.55     	73.86     	79.07     	5.06      
20.50     	75.32     	73.46     	77.42     	5.06      
21.00     	75.61     	73.29     	76.52     	5.06      
21.50     	76.37     	73.30     	76.27     	5.06      
22.00     	77.02     	73.20     	75.83     	5.06      
22.50     	77.55     	73.00     	75.17     	5.07      
23.00     	78.13     	72.78     	74.90     	5.07      
23.50     	78.78     	72.56     	75.21     	5.08      
24.00     	79.27     	72.26     	75.45     	5.08      
24.50     	79.36     	71.76     	75.48     	5.08      
25.00     	79.48     	71.32     	75.69     	5.08      
25.50     	79.71     	70.98     	76.74     	5.08      
26.00     	79.89     	70.68     	77.70     	5.08      
26.50     	79.26     	70.08     	77.33     	5.11      
27.00     	78.62     	69.58     	76.96     	5.13      
27.50     	77.62     	69.03     	75.92     	5.14      
28.00     	76.58     	68.58     	74.82     	5.15      
28.50     	75.48     	68.24     	74.25     	5.15      
29.00     	74.36     	68.01     	73.89     	5.15      
29.50     	73.87     	68.18     	74.74     	5.15      
