Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	86.90     	46.90     	44.33     	4.31      
0.50      	86.39     	45.45     	43.85     	4.30      
1.00      	85.68     	44.04     	42.99     	4.33      
1.50      	85.25     	43.06     	42.25     	4.37      
2.00      	85.85     	43.10     	42.39     	4.44      
2.50      	87.01     	43.76     	43.07     	4.52      
3.00      	87.58     	44.13     	43.36     	4.61      
3.50      	87.66     	44.03     	43.32     	4.69      
4.00      	87.31     	43.39     	42.98     	4.77      
4.50      	86.20     	42.39     	42.04     	4.85      
5.00      	84.73     	41.30     	40.83     	4.93      
5.50      	83.63     	40.39     	39.99     	5.01      
6.00      	83.31     	40.14     	39.96     	5.09      
6.50      	84.40     	41.17     	41.39     	5.13      
7.00      	85.71     	42.56     	43.11     	5.16      
7.50      	86.72     	43.78     	44.50     	5.17      
8.00      	87.03     	44.23     	45.02     	5.18      
8.50      	86.91     	44.00     	44.75     	5.19      
9.00      	86.82     	43.39     	44.00     	5.20      
9.50      	87.47     	43.32     	43.78     	5.21      
10.00     	89.24     	44.43     	44.80     	5.22      
10.50     	90.03     	45.02     	45.34     	5.24      
11.00     	89.52     	44.65     	45.04     	5.25      
11.50     	88.48     	43.20     	44.28     	5.26      
12.00     	87.03     	41.51     	43.24     	5.27      
12.50     	85.00     	40.68     	42.02     	5.29      
13.00     	83.20     	40.33     	41.05     	5.30      
13.50     	82.32     	40.44     	40.77     	5.31      
14.00     	82.43     	41.15     	41.28     	5.32      
14.50     	83.70     	42.56     	42.74     	5.32      
15.00     	85.18     	44.17     	44.50     	5.30      
15.50     	86.30     	45.47     	45.95     	5.24      
16.00     	86.24     	45.39     	45.93     	5.18      
16.50     	85.62     	44.36     	45.11     	5.13      
17.00     	85.24     	43.12     	44.44     	5.07      
17.50     	85.70     	42.59     	44.38     	5.01      
18.00     	86.90     	43.07     	44.97     	4.96      
18.50     	87.87     	44.23     	45.73     	4.94      
19.00     	88.33     	45.17     	46.31     	4.94      
19.50     	88.11     	45.02     	46.45     	4.96      
