Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	89.18     	69.83     	66.95     	4.96      
0.50      	89.43     	70.37     	67.59     	4.96      
1.00      	89.51     	71.16     	68.80     	4.97      
1.50      	89.81     	72.26     	70.03     	5.01      
2.00      	90.26     	73.94     	71.04     	5.05      
2.50      	90.76     	75.13     	72.70     	5.08      
3.00      	90.58     	74.51     	71.55     	5.12      
3.50      	89.86     	73.75     	69.78     	5.16      
4.00      	88.74     	73.28     	68.59     	5.20      
4.50      	87.54     	71.55     	67.81     	5.24      
5.00      	88.32     	73.88     	68.24     	5.28      
5.50      	89.93     	76.78     	71.54     	5.31      
6.00      	91.93     	77.90     	74.26     	5.30      
6.50      	93.88     	77.16     	75.33     	5.25      
7.00      	94.92     	76.34     	76.18     	5.21      
7.50      	94.83     	76.60     	74.92     	5.16      
8.00      	94.08     	75.43     	73.05     	5.12      
8.50      	93.46     	73.99     	72.03     	5.07      
9.00      	93.49     	73.44     	72.57     	5.03      
9.50      	93.69     	74.48     	71.48     	4.99      
10.00     	93.11     	73.24     	70.30     	4.96      
10.50     	91.78     	71.21     	68.01     	4.92      
11.00     	89.58     	69.48     	63.55     	4.89      
11.50     	88.34     	67.43     	61.70     	4.85      
12.00     	87.94     	67.19     	61.92     	4.82      
12.50     	88.08     	68.52     	62.97     	4.81      
13.00     	88.48     	71.26     	63.60     	4.87      
13.50     	87.62     	70.31     	65.01     	4.92      
14.00     	86.43     	68.59     	64.71     	4.98      
14.50     	85.29     	67.37     	63.46     	5.04      
15.00     	84.62     	67.99     	62.88     	5.10      
15.50     	84.59     	68.37     	64.34     	5.16      
16.00     	84.96     	70.35     	65.78     	5.19      
16.50     	85.60     	72.65     	67.08     	5.19      
17.00     	86.38     	74.40     	68.18     	5.19      
17.50     	86.20     	75.27     	68.80     	5.19      
18.00     	85.60     	73.41     	68.15     	5.18      
18.50     	84.92     	71.02     	66.88     	5.18      
19.00     	84.55     	69.68     	65.73     	5.18      
19.50     	85.26     	70.43     	66.42     	5.18      
20.00     	86.42     	70.97     	67.90     	5.15      
20.50     	87.10     	70.52     	67.78     	5.11      
21.00     	86.96     	69.07     	66.29     	5.06      
21.50     	85.96     	67.34     	65.96     	5.02      
22.00     	85.92     	65.83     	64.02     	4.98      
22.50     	86.41     	65.42     	64.47     	4.93      
23.00     	87.10     	66.31     	65.97     	4.89      
23.50     	87.66     	68.39     	67.15     	4.86      
24.00     	86.66     	67.27     	64.89     	4.84      
24.50     	85.41     	67.49     	63.89     	4.81      
25.00     	84.58     	67.89     	63.67     	4.78      
25.50     	84.48     	68.15     	64.24     	4.75      
26.00     	85.16     	69.31     	67.13     	4.75      
26.50     	86.15     	71.17     	68.43     	4.82      
27.00     	86.40     	71.85     	68.92     	4.89      
27.50     	85.91     	71.69     	68.32     	4.95      
28.00     	85.15     	71.50     	66.53     	5.02      
28.50     	86.05     	71.36     	66.27     	5.09      
29.00     	87.82     	72.46     	67.49     	5.16      
29.50     	89.93     	74.15     	69.08     	5.17      
30.00     	91.68     	75.05     	69.79     	5.14      
30.50     	92.41     	73.92     	68.62     	5.12      
31.00     	91.84     	72.01     	67.06     	5.10      
31.50     	90.89     	70.40     	64.40     	5.07      
32.00     	90.28     	69.43     	63.40     	5.05      
32.50     	90.24     	69.51     	64.03     	5.03      
33.00     	90.72     	71.02     	65.07     	5.00      
33.50     	90.71     	71.19     	65.78     	4.97      
34.00     	89.91     	70.90     	65.47     	4.94      
34.50     	88.63     	68.78     	64.81     	4.92      
35.00     	87.38     	65.38     	64.23     	4.89      
35.50     	87.28     	68.61     	62.84     	4.86      
36.00     	87.41     	69.62     	63.98     	4.84      
36.50     	87.80     	69.95     	64.84     	4.88      
37.00     	88.22     	69.75     	65.31     	4.93      
37.50     	88.44     	69.29     	65.52     	4.99      
38.00     	88.39     	70.43     	64.74     	5.05      
38.50     	87.96     	70.30     	64.54     	5.11      
39.00     	87.17     	69.06     	63.82     	5.16      
39.50     	86.77     	68.07     	63.73     	5.22      
40.00     	87.40     	68.80     	65.53     	5.28      
40.50     	88.74     	72.03     	68.95     	5.33      
41.00     	90.67     	73.41     	70.30     	5.31      
41.50     	92.27     	73.15     	70.12     	5.29      
42.00     	93.12     	72.30     	69.13     	5.27      
42.50     	92.99     	70.81     	67.44     	5.25      
43.00     	91.88     	66.29     	63.85     	5.23      
43.50     	91.79     	65.46     	63.75     	5.21      
44.00     	91.64     	65.91     	63.95     	5.19      
44.50     	91.49     	66.70     	64.38     	5.19      
45.00     	91.34     	67.19     	65.10     	5.20      
45.50     	91.19     	65.49     	66.11     	5.22      
46.00     	91.04     	64.38     	65.13     	5.23      
