Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	98.41     	48.07     	51.29     	5.55      
0.50      	97.66     	46.94     	49.90     	5.54      
1.00      	97.47     	45.88     	48.41     	5.52      
1.50      	97.22     	45.91     	48.39     	5.51      
2.00      	97.52     	46.57     	49.21     	5.51      
2.50      	97.94     	46.95     	49.80     	5.51      
3.00      	97.96     	46.99     	49.95     	5.51      
3.50      	97.54     	46.87     	49.72     	5.52      
4.00      	96.99     	46.62     	49.45     	5.52      
4.50      	96.88     	46.53     	49.64     	5.53      
5.00      	97.58     	47.01     	50.52     	5.54      
5.50      	99.12     	48.15     	52.12     	5.55      
6.00      	100.81    	49.28     	53.56     	5.56      
6.50      	101.80    	49.70     	53.78     	5.57      
7.00      	102.05    	49.33     	52.83     	5.58      
7.50      	101.91    	48.57     	51.47     	5.59      
8.00      	101.65    	47.55     	50.30     	5.59      
8.50      	101.58    	46.40     	49.61     	5.59      
9.00      	102.17    	45.76     	49.36     	5.59      
9.50      	103.31    	46.03     	49.35     	5.58      
10.00     	104.32    	46.73     	49.44     	5.57      
10.50     	104.55    	46.94     	49.20     	5.56      
11.00     	103.94    	46.12     	48.51     	5.55      
11.50     	103.02    	44.71     	47.58     	5.54      
12.00     	101.96    	43.50     	46.29     	5.53      
12.50     	100.89    	43.09     	45.36     	5.53      
13.00     	100.47    	43.59     	45.58     	5.52      
13.50     	100.75    	44.52     	46.34     	5.53      
14.00     	100.98    	45.34     	46.94     	5.54      
14.50     	100.48    	45.69     	47.23     	5.55      
15.00     	99.47     	45.66     	47.20     	5.57      
15.50     	98.41     	45.26     	46.85     	5.59      
16.00     	97.46     	44.43     	46.41     	5.61      
16.50     	96.97     	43.91     	46.57     	5.63      
17.00     	97.05     	44.44     	47.25     	5.64      
17.50     	97.37     	45.62     	47.99     	5.66      
18.00     	97.61     	46.43     	48.83     	5.66      
18.50     	97.51     	46.51     	49.54     	5.67      
19.00     	97.14     	46.28     	49.45     	5.67      
19.50     	96.69     	46.12     	48.60     	5.66      
20.00     	96.19     	46.12     	47.84     	5.66      
20.50     	95.92     	46.42     	47.84     	5.64      
21.00     	96.19     	46.87     	48.15     	5.63      
21.50     	96.91     	47.50     	48.69     	5.61      
22.00     	97.77     	48.93     	50.34     	5.59      
22.50     	98.20     	50.45     	52.33     	5.57      
23.00     	98.02     	50.80     	53.02     	5.55      
23.50     	97.97     	50.79     	53.01     	5.53      
24.00     	98.74     	51.73     	53.83     	5.51      
24.50     	100.19    	53.39     	55.37     	5.49      
25.00     	101.86    	54.51     	56.39     	5.48      
25.50     	103.26    	54.67     	56.52     	5.47      
26.00     	104.17    	54.29     	56.29     	5.46      
26.50     	104.32    	53.46     	55.65     	5.46      
27.00     	103.57    	51.84     	54.25     	5.47      
27.50     	102.14    	49.58     	52.27     	5.49      
28.00     	100.85    	47.61     	50.55     	5.51      
28.50     	100.49    	46.60     	50.05     	5.55      
29.00     	101.00    	46.66     	50.91     	5.60      
29.50     	101.14    	47.14     	51.62     	5.65      
30.00     	100.22    	47.07     	50.98     	5.71      
30.50     	98.89     	46.40     	49.85     	5.78      
31.00     	97.98     	45.86     	49.52     	5.84      
31.50     	97.47     	45.86     	49.76     	5.89      
32.00     	97.67     	46.78     	50.57     	5.94      
32.50     	99.10     	48.85     	52.40     	5.96      
33.00     	101.41    	51.45     	54.80     	5.97      
33.50     	103.30    	53.01     	56.59     	5.97      
34.00     	104.25    	53.37     	57.62     	5.95      
34.50     	104.69    	53.42     	57.97     	5.93      
35.00     	104.92    	53.27     	57.62     	5.90      
35.50     	105.29    	52.81     	57.23     	5.86      
36.00     	106.15    	52.78     	57.49     	5.82      
36.50     	107.24    	53.54     	58.02     	5.79      
37.00     	108.02    	54.30     	57.93     	5.75      
37.50     	108.22    	54.40     	57.33     	5.72      
38.00     	107.72    	53.79     	56.65     	5.69      
38.50     	106.75    	52.80     	55.88     	5.66      
39.00     	105.65    	51.89     	55.09     	5.64      
39.50     	104.83    	51.42     	54.57     	5.62      
40.00     	104.61    	51.47     	54.63     	5.60      
40.50     	104.76    	51.90     	55.24     	5.59      
41.00     	104.77    	52.34     	56.02     	5.58      
