Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	60.12     	45.88     	43.06     	6.04      
0.50      	60.28     	45.84     	42.20     	6.05      
1.00      	60.30     	45.69     	41.71     	6.04      
1.50      	60.24     	45.49     	41.52     	6.02      
2.00      	60.21     	45.30     	41.55     	6.01      
2.50      	60.31     	45.19     	41.70     	6.01      
3.00      	60.77     	45.30     	41.87     	6.07      
3.50      	61.64     	45.68     	41.98     	6.19      
4.00      	62.60     	46.09     	41.98     	6.31      
4.50      	63.16     	46.19     	41.64     	6.39      
5.00      	63.28     	45.93     	40.99     	6.41      
5.50      	63.11     	45.46     	40.31     	6.38      
6.00      	62.83     	44.85     	39.95     	6.37      
6.50      	62.51     	44.19     	40.09     	6.36      
7.00      	62.21     	43.63     	40.45     	6.37      
7.50      	62.13     	43.56     	40.86     	6.37      
8.00      	62.33     	44.05     	41.23     	6.37      
8.50      	62.66     	44.76     	41.56     	6.37      
9.00      	62.93     	45.23     	41.80     	6.38      
9.50      	63.02     	45.21     	41.92     	6.38      
10.00     	63.14     	45.06     	41.99     	6.38      
10.50     	63.45     	45.06     	42.09     	6.33      
11.00     	64.08     	45.35     	42.30     	6.21      
11.50     	64.84     	45.73     	42.55     	6.09      
12.00     	65.56     	45.99     	42.88     	6.01      
12.50     	66.18     	46.05     	43.23     	6.00      
13.00     	66.76     	45.96     	43.47     	6.03      
13.50     	67.42     	45.76     	43.16     	6.05      
14.00     	68.10     	45.46     	42.37     	6.06      
14.50     	68.66     	45.10     	41.44     	6.04      
15.00     	68.93     	44.74     	40.77     	5.99      
15.50     	68.73     	44.45     	40.72     	5.90      
16.00     	68.30     	44.20     	40.91     	5.81      
16.50     	67.86     	44.01     	41.02     	5.76      
17.00     	67.54     	43.89     	40.87     	5.76      
17.50     	67.24     	43.83     	40.59     	5.79      
18.00     	66.89     	43.75     	40.20     	5.77      
18.50     	66.44     	43.63     	39.66     	5.75      
19.00     	66.03     	43.59     	39.22     	5.77      
19.50     	65.78     	43.77     	39.14     	5.93      
20.00     	65.83     	44.32     	39.72     	6.20      
20.50     	66.07     	45.06     	40.72     	6.50      
21.00     	66.34     	45.81     	41.93     	6.66      
