Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	131.89    	45.26     	54.36     	4.86      
0.50      	130.42    	45.45     	54.70     	4.86      
1.00      	129.18    	45.05     	53.94     	4.86      
1.50      	128.54    	44.85     	53.37     	4.86      
2.00      	128.71    	45.69     	54.37     	4.86      
2.50      	131.19    	47.86     	57.39     	4.86      
3.00      	134.33    	50.14     	60.76     	4.86      
3.50      	134.04    	50.25     	61.39     	4.86      
4.00      	133.59    	50.02     	61.87     	4.85      
4.50      	133.94    	49.99     	62.20     	4.84      
5.00      	135.35    	50.25     	62.19     	4.82      
5.50      	137.60    	50.23     	62.31     	4.79      
6.00      	138.28    	49.57     	61.48     	4.78      
6.50      	136.93    	48.38     	59.96     	4.75      
7.00      	134.85    	47.24     	58.99     	4.73      
7.50      	132.70    	46.28     	58.09     	4.71      
8.00      	131.18    	45.82     	57.28     	4.69      
8.50      	131.48    	46.59     	56.97     	4.67      
9.00      	132.02    	47.96     	57.26     	4.65      
9.50      	131.76    	49.02     	57.84     	4.63      
10.00     	130.38    	47.89     	57.08     	4.64      
10.50     	128.94    	47.32     	57.02     	4.67      
11.00     	128.54    	48.75     	58.45     	4.69      
11.50     	131.13    	50.81     	59.33     	4.71      
12.00     	133.56    	52.07     	60.27     	4.74      
12.50     	134.36    	52.11     	60.93     	4.76      
13.00     	133.92    	51.76     	60.24     	4.79      
13.50     	134.15    	51.22     	59.59     	4.81      
14.00     	135.39    	51.22     	59.72     	4.84      
14.50     	137.06    	52.81     	60.91     	4.87      
15.00     	137.55    	53.03     	60.35     	4.89      
15.50     	136.89    	52.20     	59.11     	4.92      
16.00     	135.78    	51.49     	58.97     	4.94      
16.50     	134.67    	50.47     	58.38     	4.96      
17.00     	134.96    	49.65     	58.43     	4.99      
17.50     	137.79    	49.68     	60.41     	5.01      
18.00     	139.31    	50.47     	61.65     	5.03      
18.50     	138.90    	50.44     	61.70     	5.04      
19.00     	137.07    	48.83     	60.75     	5.03      
19.50     	135.13    	47.88     	58.97     	5.03      
20.00     	134.15    	47.66     	57.85     	5.02      
20.50     	134.79    	48.10     	58.32     	5.01      
21.00     	136.43    	48.97     	59.69     	5.01      
21.50     	136.54    	49.13     	60.02     	5.00      
22.00     	134.61    	48.30     	58.91     	4.99      
22.50     	132.97    	47.22     	58.04     	4.99      
23.00     	133.36    	47.39     	58.40     	4.98      
23.50     	134.90    	47.71     	59.75     	4.97      
24.00     	134.72    	45.56     	60.79     	4.97      
24.50     	134.14    	44.68     	61.13     	4.96      
25.00     	133.66    	44.91     	60.99     	4.95      
25.50     	133.59    	45.23     	60.83     	4.95      
26.00     	134.94    	45.72     	62.06     	4.94      
26.50     	136.92    	46.40     	63.73     	4.93      
27.00     	138.31    	47.26     	64.38     	4.93      
27.50     	138.77    	48.27     	63.73     	4.92      
28.00     	138.43    	49.16     	62.72     	4.92      
28.50     	137.57    	49.72     	62.09     	4.93      
29.00     	136.86    	50.12     	62.40     	4.94      
29.50     	137.24    	49.15     	63.30     	4.94      
30.00     	138.50    	46.80     	64.15     	4.95      
30.50     	137.36    	46.17     	63.71     	4.96      
31.00     	136.42    	46.47     	63.03     	4.96      
31.50     	136.27    	47.17     	62.51     	4.97      
32.00     	135.86    	47.82     	62.08     	4.97      
32.50     	134.87    	48.59     	61.14     	4.98      
33.00     	133.84    	49.21     	60.22     	4.99      
33.50     	133.71    	49.07     	60.20     	4.99      
34.00     	133.83    	47.79     	59.64     	5.00      
34.50     	134.63    	48.56     	59.36     	5.01      
35.00     	135.13    	50.77     	59.38     	5.02      
35.50     	132.42    	49.06     	58.43     	5.03      
36.00     	130.12    	47.29     	57.83     	5.03      
36.50     	129.41    	46.68     	57.95     	5.04      
37.00     	130.44    	47.45     	58.71     	5.05      
37.50     	132.15    	48.19     	59.69     	5.05      
38.00     	133.61    	48.66     	61.47     	5.06      
38.50     	134.30    	48.80     	63.70     	5.07      
39.00     	134.45    	48.03     	63.55     	5.08      
39.50     	134.22    	47.94     	62.63     	5.09      
40.00     	134.14    	48.15     	62.03     	5.09      
40.50     	134.17    	47.73     	61.70     	5.10      
41.00     	133.69    	46.22     	60.93     	5.11      
41.50     	132.02    	44.71     	60.06     	5.12      
42.00     	131.35    	44.44     	59.45     	5.13      
42.50     	132.06    	45.15     	58.91     	5.13      
43.00     	130.76    	44.04     	57.49     	5.14      
43.50     	129.19    	43.72     	55.97     	5.12      
44.00     	127.83    	44.05     	54.78     	5.08      
44.50     	126.30    	43.25     	54.12     	5.04      
45.00     	125.92    	43.26     	54.75     	5.00      
45.50     	126.18    	43.70     	55.69     	4.96      
46.00     	125.82    	43.47     	55.34     	4.91      
46.50     	125.76    	44.89     	56.73     	4.87      
47.00     	125.46    	45.57     	57.65     	4.83      
47.50     	124.89    	44.28     	56.83     	4.79      
48.00     	126.05    	45.90     	58.41     	4.75      
48.50     	127.30    	47.05     	59.76     	4.71      
49.00     	128.07    	46.59     	60.23     	4.66      
49.50     	128.90    	45.78     	60.98     	4.62      
50.00     	129.40    	46.52     	61.50     	4.58      
50.50     	130.56    	47.81     	61.98     	4.53      
51.00     	132.49    	48.44     	62.34     	4.49      
51.50     	132.03    	48.73     	61.27     	4.47      
52.00     	130.87    	46.92     	59.33     	4.48      
52.50     	129.50    	44.15     	57.09     	4.50      
53.00     	128.09    	43.14     	55.28     	4.53      
53.50     	128.32    	43.41     	55.11     	4.55      
54.00     	129.70    	44.28     	56.11     	4.58      
54.50     	129.76    	44.85     	56.38     	4.62      
55.00     	129.60    	43.88     	55.24     	4.64      
55.50     	129.52    	42.07     	54.09     	4.67      
56.00     	129.64    	40.80     	54.66     	4.69      
56.50     	129.55    	40.52     	54.59     	4.72      
57.00     	129.40    	41.51     	54.48     	4.75      
57.50     	129.66    	43.27     	54.97     	4.78      
58.00     	131.15    	43.52     	55.54     	4.80      
58.50     	131.38    	43.80     	55.50     	4.81      
59.00     	130.55    	43.63     	55.08     	4.81      
59.50     	130.04    	41.95     	54.87     	4.81      
60.00     	129.83    	42.27     	54.80     	4.81      
60.50     	129.45    	43.41     	54.63     	4.81      
61.00     	128.70    	43.64     	54.32     	4.81      
61.50     	129.87    	44.17     	55.51     	4.81      
62.00     	129.68    	43.94     	55.64     	4.81      
62.50     	127.90    	42.96     	54.45     	4.81      
63.00     	127.71    	42.55     	54.38     	4.81      
63.50     	126.81    	42.76     	53.86     	4.82      
64.00     	125.39    	42.72     	53.05     	4.82      
64.50     	124.90    	41.63     	53.04     	4.82      
65.00     	125.65    	43.09     	54.26     	4.82      
65.50     	125.87    	44.14     	54.85     	4.82      
66.00     	125.08    	43.65     	54.37     	4.82      
66.50     	125.00    	44.35     	54.62     	4.81      
67.00     	124.49    	43.47     	54.35     	4.81      
67.50     	124.32    	42.42     	54.06     	4.81      
68.00     	125.77    	44.26     	54.97     	4.80      
68.50     	125.27    	43.38     	55.45     	4.80      
69.00     	125.19    	43.94     	56.06     	4.80      
69.50     	126.28    	46.48     	56.83     	4.79      
70.00     	126.65    	46.36     	57.05     	4.79      
70.50     	128.14    	45.40     	57.70     	4.79      
71.00     	129.30    	45.00     	57.52     	4.78      
71.50     	128.19    	45.56     	55.15     	4.78      
72.00     	127.76    	45.14     	53.96     	4.78      
72.50     	127.11    	43.89     	53.82     	4.77      
73.00     	126.03    	42.54     	54.18     	4.77      
73.50     	126.91    	42.77     	54.54     	4.77      
74.00     	126.47    	42.31     	53.56     	4.77      
74.50     	125.09    	41.75     	52.17     	4.77      
75.00     	124.36    	42.20     	51.85     	4.78      
