Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	73.26     	67.10     	90.47     	4.34      
0.50      	83.29     	67.10     	90.47     	4.34      
1.00      	89.38     	63.87     	85.42     	4.34      
1.50      	88.67     	59.68     	78.37     	4.34      
2.00      	84.88     	59.00     	76.63     	4.34      
2.50      	83.35     	58.89     	76.31     	4.34      
3.00      	83.93     	58.57     	76.22     	4.34      
3.50      	84.06     	58.22     	76.38     	4.34      
4.00      	83.00     	57.91     	76.61     	4.34      
4.50      	81.57     	57.53     	76.54     	4.34      
5.00      	80.27     	57.09     	76.05     	4.34      
5.50      	79.09     	56.64     	75.38     	4.33      
6.00      	78.07     	56.38     	74.80     	4.33      
6.50      	77.39     	56.74     	74.65     	4.32      
7.00      	77.24     	57.99     	75.23     	4.32      
7.50      	77.64     	59.73     	76.60     	4.31      
8.00      	78.52     	61.48     	78.60     	4.30      
8.50      	79.67     	62.66     	80.48     	4.30      
9.00      	80.81     	62.96     	81.61     	4.29      
9.50      	81.64     	62.73     	82.06     	4.29      
10.00     	81.96     	62.34     	81.93     	4.29      
10.50     	82.01     	61.67     	81.01     	4.29      
11.00     	82.14     	60.53     	79.12     	4.29      
11.50     	82.25     	59.29     	77.09     	4.30      
12.00     	82.12     	58.56     	76.17     	4.31      
12.50     	81.75     	58.37     	76.51     	4.32      
13.00     	81.34     	58.35     	77.48     	4.34      
13.50     	81.12     	58.47     	78.80     	4.36      
14.00     	81.33     	59.09     	80.64     	4.38      
14.50     	81.80     	60.16     	82.79     	4.41      
15.00     	81.87     	61.02     	84.48     	4.43      
15.50     	81.79     	61.76     	85.72     	4.46      
16.00     	82.71     	63.07     	87.13     	4.48      
16.50     	84.27     	64.16     	88.10     	4.51      
17.00     	85.48     	63.82     	87.68     	4.53      
17.50     	86.14     	62.88     	86.68     	4.56      
18.00     	86.30     	62.45     	86.13     	4.58      
18.50     	86.07     	62.37     	85.95     	4.60      
19.00     	85.58     	62.25     	85.86     	4.61      
19.50     	84.94     	62.13     	85.93     	4.63      
20.00     	84.28     	62.14     	86.31     	4.63      
20.50     	83.44     	62.15     	86.57     	4.63      
21.00     	82.08     	61.85     	85.88     	4.63      
21.50     	80.42     	61.42     	84.55     	4.62      
22.00     	79.31     	61.60     	84.23     	4.61      
22.50     	79.18     	62.73     	85.63     	4.60      
23.00     	79.61     	64.32     	87.64     	4.58      
23.50     	80.12     	65.75     	89.18     	4.57      
24.00     	80.41     	66.31     	89.66     	4.55      
24.50     	80.27     	65.58     	88.83     	4.53      
25.00     	79.86     	64.28     	87.33     	4.51      
25.50     	79.40     	63.32     	85.99     	4.49      
26.00     	79.00     	62.89     	85.02     	4.47      
26.50     	78.70     	62.82     	84.35     	4.46      
27.00     	78.41     	62.76     	83.89     	4.45      
27.50     	77.95     	62.21     	83.49     	4.44      
28.00     	77.47     	61.26     	83.16     	4.44      
28.50     	77.70     	61.09     	83.10     	4.44      
29.00     	79.03     	62.34     	83.48     	4.44      
29.50     	80.44     	63.60     	84.22     	4.44      
30.00     	81.14     	63.73     	84.92     	4.45      
30.50     	81.42     	63.08     	84.38     	4.45      
31.00     	81.81     	62.36     	82.67     	4.46      
31.50     	82.97     	62.32     	82.40     	4.47      
32.00     	84.78     	62.94     	84.17     	4.48      
32.50     	86.11     	63.20     	85.77     	4.50      
33.00     	86.57     	62.88     	86.27     	4.51      
33.50     	86.44     	62.45     	85.97     	4.52      
34.00     	86.12     	62.20     	85.34     	4.54      
34.50     	86.07     	62.16     	84.96     	4.55      
35.00     	86.47     	62.33     	85.15     	4.56      
35.50     	86.60     	62.74     	85.53     	4.58      
36.00     	85.66     	63.36     	85.63     	4.59      
36.50     	83.90     	64.15     	85.54     	4.60      
37.00     	82.17     	64.97     	85.69     	4.61      
37.50     	80.88     	65.68     	86.19     	4.62      
38.00     	79.92     	66.08     	86.79     	4.62      
38.50     	79.26     	66.15     	87.27     	4.63      
39.00     	79.14     	66.25     	87.58     	4.63      
39.50     	79.63     	66.52     	87.61     	4.64      
40.00     	80.38     	66.45     	87.17     	4.64      
40.50     	81.07     	65.75     	86.30     	4.64      
41.00     	81.56     	65.39     	85.94     	4.64      
41.50     	81.83     	66.15     	86.82     	4.64      
42.00     	82.02     	66.99     	87.87     	4.64      
42.50     	82.30     	66.44     	87.62     	4.64      
43.00     	82.58     	64.87     	86.42     	4.64      
43.50     	82.64     	63.57     	85.52     	4.64      
44.00     	82.33     	62.81     	85.11     	4.64      
44.50     	81.50     	62.01     	84.49     	4.63      
45.00     	80.45     	61.21     	83.70     	4.63      
45.50     	79.98     	61.23     	83.80     	4.63      
46.00     	80.38     	62.36     	85.29     	4.63      
46.50     	81.14     	63.99     	87.75     	4.63      
47.00     	81.85     	65.51     	90.33     	4.63      
47.50     	82.27     	66.37     	91.70     	4.63      
48.00     	82.31     	66.28     	91.21     	4.63      
48.50     	82.01     	65.37     	89.40     	4.63      
49.00     	81.51     	63.93     	87.01     	4.63      
49.50     	81.06     	62.65     	84.96     	4.63      
50.00     	80.90     	62.13     	84.04     	4.63      
