Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	89.51     	40.06     	36.60     	4.40      
0.50      	89.62     	39.53     	36.26     	4.38      
1.00      	89.39     	38.97     	35.79     	4.37      
1.50      	88.65     	38.41     	35.15     	4.36      
2.00      	87.68     	38.05     	34.43     	4.34      
2.50      	86.66     	37.86     	33.76     	4.33      
3.00      	85.43     	37.37     	33.17     	4.32      
3.50      	84.03     	36.51     	32.75     	4.31      
4.00      	82.87     	35.92     	32.62     	4.30      
4.50      	82.01     	35.89     	32.71     	4.30      
5.00      	80.92     	36.00     	32.70     	4.29      
5.50      	79.41     	35.95     	32.49     	4.29      
6.00      	77.86     	35.78     	32.36     	4.28      
6.50      	76.61     	35.60     	32.50     	4.28      
7.00      	75.86     	35.60     	32.91     	4.28      
7.50      	75.69     	35.91     	33.43     	4.28      
8.00      	75.93     	36.54     	33.67     	4.28      
8.50      	76.34     	37.33     	33.61     	4.28      
9.00      	76.61     	37.90     	33.79     	4.29      
9.50      	76.54     	38.13     	34.25     	4.29      
10.00     	76.14     	38.19     	34.45     	4.30      
10.50     	75.63     	38.16     	34.27     	4.30      
11.00     	75.39     	38.10     	33.91     	4.31      
11.50     	75.55     	38.27     	33.84     	4.31      
12.00     	76.03     	38.89     	34.43     	4.32      
12.50     	76.63     	39.56     	35.06     	4.33      
13.00     	77.13     	39.75     	35.08     	4.34      
13.50     	77.57     	39.53     	34.97     	4.34      
14.00     	77.98     	39.16     	35.18     	4.35      
14.50     	78.37     	39.07     	35.16     	4.36      
15.00     	78.81     	39.50     	34.68     	4.37      
15.50     	79.63     	40.16     	34.68     	4.38      
16.00     	80.91     	40.79     	35.53     	4.39      
16.50     	82.32     	41.24     	36.32     	4.40      
17.00     	83.58     	41.40     	36.52     	4.41      
17.50     	84.51     	41.22     	36.25     	4.42      
18.00     	85.13     	40.92     	35.83     	4.43      
18.50     	85.64     	41.00     	35.71     	4.44      
19.00     	85.97     	41.32     	35.79     	4.45      
19.50     	85.91     	41.19     	35.53     	4.46      
20.00     	85.53     	40.70     	35.05     	4.48      
