Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	69.14     	37.20     	44.33     	4.19      
0.50      	70.11     	36.08     	43.38     	3.99      
1.00      	70.91     	34.74     	42.41     	4.03      
1.50      	71.31     	33.99     	40.84     	4.04      
2.00      	71.39     	33.54     	39.33     	4.04      
2.50      	71.15     	32.91     	39.04     	4.04      
3.00      	70.61     	32.42     	39.38     	4.04      
3.50      	69.70     	32.66     	39.57     	4.04      
4.00      	68.59     	33.26     	39.69     	4.04      
4.50      	67.60     	33.51     	40.04     	4.04      
5.00      	66.75     	33.39     	40.56     	4.04      
5.50      	65.81     	33.45     	40.95     	4.04      
6.00      	64.79     	33.81     	41.15     	4.04      
6.50      	63.83     	34.11     	41.27     	4.04      
7.00      	63.11     	34.27     	41.42     	4.04      
7.50      	63.38     	34.73     	42.14     	4.04      
8.00      	64.91     	35.68     	43.66     	4.03      
8.50      	67.05     	36.78     	45.53     	4.05      
9.00      	69.26     	37.75     	47.34     	4.11      
9.50      	71.38     	37.93     	48.31     	4.16      
10.00     	73.14     	37.21     	48.14     	4.16      
10.50     	73.94     	36.19     	46.81     	4.15      
11.00     	73.79     	35.15     	44.81     	4.15      
11.50     	72.89     	34.37     	43.17     	4.15      
12.00     	71.55     	33.91     	42.16     	4.15      
12.50     	70.27     	33.73     	41.80     	4.15      
13.00     	69.18     	33.80     	41.97     	4.15      
13.50     	67.95     	34.07     	42.33     	4.15      
14.00     	66.41     	34.48     	42.62     	4.15      
14.50     	64.95     	34.95     	42.92     	4.15      
15.00     	63.95     	35.37     	43.29     	4.15      
15.50     	63.22     	35.72     	43.64     	4.15      
16.00     	62.36     	35.94     	43.84     	4.15      
16.50     	61.62     	36.16     	44.09     	4.15      
17.00     	61.35     	36.65     	44.75     	4.15      
17.50     	61.80     	37.49     	45.95     	4.15      
18.00     	63.09     	38.62     	47.63     	4.15      
18.50     	65.30     	39.88     	49.60     	4.14      
19.00     	68.00     	40.74     	51.11     	4.14      
19.50     	70.97     	40.90     	51.66     	4.14      
20.00     	73.92     	40.44     	50.98     	4.14      
20.50     	76.49     	39.36     	49.09     	4.14      
21.00     	78.03     	37.83     	47.06     	4.14      
21.50     	78.41     	36.04     	45.20     	4.14      
22.00     	78.39     	34.45     	43.40     	4.14      
22.50     	78.16     	33.30     	41.81     	4.14      
23.00     	77.55     	32.64     	40.75     	4.14      
23.50     	76.54     	32.52     	40.38     	4.14      
24.00     	75.25     	32.68     	40.37     	4.14      
24.50     	73.73     	32.95     	40.50     	4.14      
