Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	106.18    	64.44     	72.84     	4.46      
0.50      	106.72    	65.14     	73.69     	4.46      
1.00      	106.99    	64.52     	71.92     	4.46      
1.50      	108.34    	64.59     	72.59     	4.46      
2.00      	110.28    	65.38     	74.28     	4.46      
2.50      	112.55    	66.90     	76.20     	4.45      
3.00      	113.14    	67.88     	77.01     	4.45      
3.50      	113.02    	67.21     	76.31     	4.45      
4.00      	112.21    	64.78     	73.99     	4.45      
4.50      	111.38    	64.71     	72.03     	4.45      
5.00      	111.03    	64.35     	71.17     	4.45      
5.50      	111.22    	64.08     	71.44     	4.45      
6.00      	112.33    	65.93     	73.12     	4.43      
6.50      	112.64    	67.78     	75.22     	4.42      
7.00      	112.37    	69.01     	76.77     	4.40      
7.50      	111.51    	67.52     	74.95     	4.39      
8.00      	112.08    	68.10     	75.30     	4.38      
8.50      	113.15    	69.41     	77.13     	4.36      
9.00      	114.41    	70.99     	80.48     	4.35      
9.50      	114.06    	70.65     	80.13     	4.34      
10.00     	113.45    	69.75     	78.67     	4.32      
10.50     	112.80    	68.49     	76.47     	4.31      
11.00     	114.04    	69.18     	77.90     	4.30      
11.50     	115.02    	69.84     	78.98     	4.28      
12.00     	115.73    	70.46     	79.66     	4.27      
12.50     	114.79    	70.31     	77.89     	4.25      
13.00     	114.06    	69.55     	77.20     	4.23      
13.50     	113.60    	68.52     	77.27     	4.21      
14.00     	114.06    	69.58     	76.39     	4.20      
14.50     	114.29    	69.96     	76.63     	4.20      
15.00     	114.34    	69.85     	77.71     	4.20      
15.50     	113.62    	68.15     	77.46     	4.21      
16.00     	113.13    	67.54     	77.13     	4.22      
16.50     	112.97    	68.37     	76.75     	4.23      
17.00     	115.22    	70.25     	78.16     	4.24      
17.50     	116.96    	71.80     	79.38     	4.23      
18.00     	118.21    	73.04     	80.43     	4.23      
18.50     	118.64    	74.09     	80.74     	4.22      
19.00     	118.75    	74.44     	81.05     	4.21      
19.50     	118.33    	73.29     	81.51     	4.20      
20.00     	117.58    	72.31     	80.48     	4.20      
20.50     	117.52    	72.34     	80.48     	4.19      
21.00     	118.70    	73.91     	82.76     	4.18      
21.50     	120.26    	75.12     	83.83     	4.21      
22.00     	121.07    	75.27     	83.77     	4.27      
22.50     	120.99    	74.20     	82.43     	4.32      
23.00     	119.73    	70.66     	79.40     	4.37      
23.50     	118.61    	68.79     	78.31     	4.43      
24.00     	117.78    	69.52     	80.17     	4.48      
24.50     	118.45    	73.16     	81.57     	4.53      
25.00     	118.93    	74.34     	82.25     	4.50      
25.50     	119.19    	72.99     	82.21     	4.47      
26.00     	118.23    	72.95     	80.97     	4.45      
26.50     	117.47    	72.60     	79.45     	4.42      
27.00     	117.14    	72.03     	78.03     	4.39      
27.50     	118.45    	73.20     	79.87     	4.37      
28.00     	119.41    	73.74     	81.12     	4.34      
28.50     	120.03    	73.87     	81.96     	4.32      
29.00     	119.52    	73.27     	82.14     	4.29      
29.50     	118.47    	71.99     	80.57     	4.26      
30.00     	117.07    	70.25     	77.84     	4.24      
30.50     	115.81    	69.98     	77.26     	4.21      
31.00     	114.26    	69.60     	76.76     	4.21      
31.50     	112.20    	69.03     	76.39     	4.26      
32.00     	110.87    	68.73     	78.11     	4.30      
32.50     	110.73    	70.14     	80.83     	4.34      
33.00     	111.96    	73.66     	84.31     	4.39      
33.50     	114.44    	79.13     	88.20     	4.43      
34.00     	116.22    	79.99     	89.16     	4.47      
34.50     	117.35    	79.29     	88.76     	4.52      
35.00     	116.99    	77.32     	86.44     	4.56      
35.50     	115.88    	74.72     	83.83     	4.60      
36.00     	114.23    	71.67     	81.03     	4.64      
36.50     	112.60    	70.63     	79.27     	4.69      
37.00     	111.33    	70.73     	78.76     	4.73      
37.50     	110.52    	72.17     	79.77     	4.72      
38.00     	110.69    	72.30     	82.18     	4.70      
38.50     	110.25    	72.17     	83.04     	4.68      
39.00     	109.28    	71.82     	82.55     	4.66      
39.50     	107.76    	70.13     	81.02     	4.63      
40.00     	106.24    	69.14     	79.66     	4.61      
40.50     	104.75    	69.36     	78.63     	4.59      
41.00     	103.80    	69.67     	79.64     	4.57      
41.50     	103.81    	72.11     	81.69     	4.54      
42.00     	104.50    	75.95     	84.17     	4.52      
42.50     	104.83    	77.78     	85.09     	4.52      
43.00     	104.61    	76.59     	84.77     	4.51      
43.50     	104.07    	74.32     	83.51     	4.50      
44.00     	103.27    	73.31     	80.74     	4.50      
44.50     	102.97    	74.00     	80.16     	4.49      
45.00     	102.84    	75.42     	80.31     	4.48      
45.50     	102.56    	76.84     	79.78     	4.49      
46.00     	102.89    	77.65     	79.34     	4.51      
46.50     	104.28    	79.14     	80.33     	4.54      
47.00     	106.34    	81.45     	83.66     	4.56      
47.50     	108.63    	84.30     	89.31     	4.58      
48.00     	111.21    	85.81     	92.27     	4.60      
48.50     	112.98    	87.02     	92.19     	4.63      
49.00     	113.68    	85.83     	89.33     	4.65      
49.50     	113.50    	82.64     	85.09     	4.67      
50.00     	112.63    	78.41     	82.55     	4.69      
50.50     	111.90    	76.29     	81.89     	4.72      
51.00     	111.03    	74.70     	81.40     	4.74      
51.50     	109.37    	71.82     	78.60     	4.73      
52.00     	107.56    	69.95     	76.76     	4.72      
52.50     	105.79    	69.18     	76.52     	4.71      
53.00     	104.32    	70.44     	79.80     	4.70      
53.50     	104.73    	73.57     	82.62     	4.69      
54.00     	106.12    	77.11     	86.09     	4.68      
54.50     	107.94    	80.50     	89.72     	4.67      
55.00     	109.32    	82.97     	92.01     	4.66      
55.50     	109.98    	81.92     	90.19     	4.65      
56.00     	110.31    	80.29     	87.77     	4.64      
56.50     	110.42    	79.03     	85.88     	4.64      
57.00     	110.80    	78.65     	86.33     	4.63      
57.50     	110.72    	77.54     	85.82     	4.63      
58.00     	109.90    	75.22     	83.52     	4.64      
58.50     	108.88    	74.79     	84.18     	4.65      
59.00     	108.85    	76.13     	85.71     	4.66      
59.50     	109.36    	77.73     	87.42     	4.67      
60.00     	109.71    	77.50     	88.47     	4.68      
60.50     	109.18    	76.24     	87.19     	4.69      
61.00     	108.35    	74.42     	85.17     	4.70      
61.50     	107.16    	71.60     	82.39     	4.71      
62.00     	106.05    	70.20     	81.05     	4.72      
62.50     	104.98    	69.59     	80.61     	4.73      
63.00     	103.90    	69.15     	80.83     	4.74      
63.50     	104.26    	72.94     	83.49     	4.74      
64.00     	105.92    	77.52     	87.85     	4.73      
64.50     	108.59    	81.49     	92.71     	4.71      
65.00     	111.54    	84.12     	95.28     	4.70      
65.50     	113.35    	82.33     	93.87     	4.68      
66.00     	114.64    	79.64     	90.91     	4.67      
66.50     	115.01    	77.19     	85.55     	4.66      
67.00     	114.80    	75.65     	81.26     	4.64      
67.50     	114.27    	74.69     	77.88     	4.63      
68.00     	113.77    	74.35     	77.53     	4.61      
68.50     	113.15    	74.14     	77.68     	4.60      
