Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	70.72     	50.86     	58.38     	5.85      
0.50      	70.17     	50.77     	58.67     	5.85      
1.00      	69.41     	50.35     	58.49     	5.85      
1.50      	68.53     	49.70     	58.06     	5.85      
2.00      	67.63     	48.96     	57.62     	5.85      
2.50      	66.93     	48.27     	57.69     	5.85      
3.00      	66.30     	47.72     	57.95     	5.85      
3.50      	65.59     	47.46     	57.98     	5.85      
4.00      	64.84     	47.45     	57.84     	5.85      
4.50      	64.09     	47.42     	57.82     	5.85      
5.00      	63.41     	47.31     	58.09     	5.85      
5.50      	63.46     	47.98     	59.25     	5.85      
6.00      	64.67     	49.98     	61.70     	5.86      
6.50      	66.58     	52.71     	64.91     	5.86      
7.00      	68.91     	55.77     	68.49     	5.87      
7.50      	70.47     	57.88     	70.86     	5.88      
8.00      	70.88     	58.50     	71.51     	5.88      
8.50      	70.64     	57.86     	71.17     	5.89      
9.00      	70.09     	56.46     	70.31     	5.90      
9.50      	69.69     	55.52     	69.37     	5.91      
10.00     	69.70     	55.62     	68.69     	5.91      
10.50     	69.74     	55.87     	68.13     	5.92      
11.00     	69.55     	55.71     	67.73     	5.92      
11.50     	69.34     	55.41     	67.31     	5.93      
12.00     	69.18     	54.94     	66.43     	5.93      
12.50     	69.27     	54.63     	65.55     	5.94      
13.00     	69.91     	55.06     	65.55     	5.94      
13.50     	71.04     	56.25     	66.44     	5.94      
14.00     	72.31     	57.74     	67.21     	5.94      
14.50     	73.32     	58.98     	67.42     	5.94      
15.00     	73.19     	58.67     	66.50     	5.94      
15.50     	72.09     	57.01     	64.76     	5.93      
16.00     	71.10     	55.54     	63.42     	5.93      
16.50     	70.31     	54.43     	62.52     	5.93      
17.00     	69.62     	53.54     	61.73     	5.93      
17.50     	69.03     	52.93     	60.97     	5.92      
18.00     	68.45     	52.56     	60.35     	5.92      
18.50     	67.64     	52.45     	59.88     	5.92      
19.00     	66.98     	52.59     	59.75     	5.92      
19.50     	66.68     	52.89     	60.27     	5.91      
20.00     	66.96     	53.57     	61.33     	5.91      
20.50     	68.46     	55.54     	63.05     	5.91      
21.00     	70.62     	58.09     	64.78     	5.92      
21.50     	71.96     	59.20     	64.85     	5.92      
22.00     	72.48     	59.03     	63.74     	5.93      
22.50     	72.28     	57.99     	62.36     	5.93      
23.00     	71.76     	56.47     	60.87     	5.94      
23.50     	71.48     	54.82     	59.41     	5.94      
24.00     	71.32     	53.27     	58.15     	5.95      
24.50     	71.03     	52.16     	57.38     	5.95      
25.00     	70.55     	51.60     	57.17     	5.96      
25.50     	69.94     	51.14     	57.13     	5.96      
26.00     	69.18     	50.47     	56.95     	5.97      
26.50     	68.42     	49.85     	56.85     	5.97      
27.00     	67.63     	49.33     	56.87     	5.98      
27.50     	67.15     	49.18     	57.23     	5.98      
28.00     	67.55     	49.84     	58.28     	5.98      
28.50     	68.89     	51.35     	60.08     	5.98      
29.00     	70.58     	53.21     	62.58     	5.98      
29.50     	72.18     	54.87     	65.09     	5.98      
30.00     	72.80     	54.96     	65.48     	5.97      
30.50     	72.50     	53.69     	64.05     	5.97      
31.00     	71.96     	52.44     	62.79     	5.97      
31.50     	71.31     	51.26     	61.73     	5.97      
32.00     	70.85     	50.11     	60.77     	5.97      
32.50     	70.57     	49.13     	59.98     	5.96      
33.00     	70.25     	48.48     	59.39     	5.96      
33.50     	69.64     	48.48     	59.08     	5.96      
34.00     	68.93     	48.67     	58.97     	5.96      
34.50     	68.08     	48.67     	59.13     	5.96      
35.00     	67.21     	48.63     	59.41     	5.96      
35.50     	66.39     	48.73     	59.35     	5.95      
36.00     	65.78     	49.12     	59.03     	5.95      
36.50     	66.03     	50.41     	59.88     	5.94      
37.00     	67.47     	52.85     	62.61     	5.93      
37.50     	68.97     	54.86     	65.14     	5.91      
38.00     	69.96     	55.74     	66.54     	5.90      
38.50     	70.24     	56.01     	66.64     	5.88      
39.00     	69.84     	55.83     	65.57     	5.87      
39.50     	69.33     	55.19     	64.13     	5.85      
40.00     	68.96     	54.24     	62.71     	5.84      
40.50     	68.63     	53.30     	61.29     	5.83      
41.00     	68.37     	52.61     	59.96     	5.81      
41.50     	68.03     	52.02     	58.90     	5.79      
42.00     	67.40     	51.35     	58.11     	5.78      
42.50     	67.18     	51.33     	58.20     	5.77      
43.00     	68.26     	52.82     	60.01     	5.75      
43.50     	69.53     	54.52     	62.00     	5.75      
44.00     	69.87     	54.98     	62.57     	5.75      
44.50     	69.67     	54.81     	62.23     	5.76      
45.00     	69.27     	54.56     	61.37     	5.76      
45.50     	68.73     	54.22     	60.31     	5.77      
46.00     	68.33     	54.02     	59.81     	5.77      
46.50     	67.94     	53.88     	59.59     	5.78      
47.00     	67.37     	53.68     	59.23     	5.78      
47.50     	66.39     	53.31     	58.32     	5.78      
48.00     	65.35     	52.99     	57.42     	5.78      
48.50     	64.25     	52.80     	56.68     	5.78      
49.00     	63.38     	52.87     	56.40     	5.78      
49.50     	63.21     	53.50     	57.07     	5.77      
50.00     	63.83     	54.72     	58.77     	5.76      
50.50     	64.78     	56.21     	60.94     	5.75      
51.00     	65.76     	57.68     	63.15     	5.74      
51.50     	66.31     	58.24     	64.31     	5.72      
52.00     	66.22     	57.49     	63.93     	5.72      
52.50     	65.97     	56.31     	63.18     	5.71      
53.00     	65.93     	55.29     	62.90     	5.69      
53.50     	65.92     	54.40     	62.73     	5.68      
54.00     	65.72     	53.69     	62.49     	5.67      
54.50     	65.73     	53.40     	62.52     	5.66      
55.00     	66.63     	54.04     	63.56     	5.65      
55.50     	67.95     	55.09     	64.95     	5.63      
56.00     	68.41     	55.24     	65.03     	5.62      
56.50     	68.08     	54.63     	63.95     	5.60      
57.00     	67.50     	54.04     	62.50     	5.58      
57.50     	66.80     	53.54     	60.87     	5.56      
58.00     	66.04     	52.95     	59.06     	5.55      
58.50     	65.35     	52.35     	57.32     	5.52      
59.00     	65.10     	52.17     	56.42     	5.51      
59.50     	65.85     	53.20     	57.66     	5.50      
60.00     	66.93     	54.33     	59.46     	5.49      
60.50     	68.08     	54.88     	61.07     	5.50      
61.00     	69.04     	54.96     	62.20     	5.50      
61.50     	69.37     	54.39     	62.15     	5.51      
62.00     	69.53     	53.50     	61.73     	5.51      
62.50     	69.78     	52.38     	61.45     	5.51      
63.00     	70.18     	51.42     	61.33     	5.52      
63.50     	71.16     	51.46     	61.91     	5.52      
64.00     	72.13     	51.61     	62.59     	5.53      
64.50     	72.40     	50.93     	62.83     	5.53      
65.00     	72.27     	49.85     	62.70     	5.53      
65.50     	72.19     	49.12     	62.14     	5.54      
66.00     	72.31     	48.85     	61.69     	5.55      
66.50     	73.23     	49.69     	62.51     	5.59      
67.00     	73.40     	49.93     	62.59     	5.63      
67.50     	71.65     	48.30     	60.44     	5.68      
68.00     	69.55     	46.68     	57.82     	5.72      
68.50     	67.83     	45.92     	55.55     	5.76      
69.00     	66.21     	45.37     	53.60     	5.80      
69.50     	64.80     	44.64     	52.34     	5.84      
70.00     	63.51     	44.11     	51.54     	5.87      
70.50     	62.11     	43.95     	50.95     	5.91      
71.00     	61.00     	44.31     	50.98     	5.94      
71.50     	60.97     	45.67     	52.67     	5.96      
72.00     	61.88     	47.73     	55.60     	5.97      
