Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	93.15     	46.77     	41.42     	4.34      
0.50      	91.37     	47.95     	42.62     	4.34      
1.00      	89.25     	48.51     	43.36     	4.34      
1.50      	87.05     	48.55     	43.69     	4.34      
2.00      	85.02     	48.25     	43.70     	4.34      
2.50      	83.67     	47.81     	43.49     	4.34      
3.00      	82.73     	47.24     	43.07     	4.34      
3.50      	81.83     	46.48     	42.29     	4.36      
4.00      	81.24     	45.74     	41.45     	4.38      
4.50      	81.80     	45.46     	41.20     	4.41      
5.00      	83.33     	45.61     	41.43     	4.43      
5.50      	85.31     	45.97     	41.68     	4.46      
6.00      	87.22     	46.13     	41.56     	4.49      
6.50      	88.03     	44.92     	40.18     	4.51      
7.00      	87.91     	42.81     	38.06     	4.54      
7.50      	87.37     	40.82     	36.56     	4.58      
8.00      	86.61     	39.26     	35.61     	4.60      
8.50      	85.86     	38.66     	34.96     	4.63      
9.00      	85.22     	38.92     	34.55     	4.65      
9.50      	84.73     	39.29     	34.50     	4.67      
10.00     	84.42     	39.30     	34.84     	4.71      
10.50     	84.47     	39.30     	35.28     	4.73      
11.00     	85.06     	39.41     	35.55     	4.74      
11.50     	85.92     	39.65     	35.80     	4.75      
12.00     	86.55     	40.01     	36.06     	4.77      
12.50     	87.39     	40.56     	36.47     	4.78      
13.00     	89.10     	41.49     	37.27     	4.79      
13.50     	91.32     	42.56     	38.22     	4.80      
14.00     	93.43     	43.48     	38.98     	4.82      
14.50     	95.14     	44.00     	39.39     	4.83      
15.00     	96.20     	43.90     	39.35     	4.84      
15.50     	96.47     	43.15     	38.62     	4.85      
16.00     	95.87     	41.77     	36.97     	4.87      
16.50     	94.96     	40.38     	35.46     	4.88      
17.00     	94.24     	39.47     	34.88     	4.90      
17.50     	93.39     	38.95     	34.75     	4.91      
18.00     	92.13     	38.79     	34.81     	4.92      
18.50     	91.64     	39.51     	35.49     	4.94      
19.00     	95.74     	43.49     	38.72     	4.94      
19.50     	98.24     	46.33     	40.92     	4.95      
20.00     	91.19     	42.33     	37.50     	4.97      
20.50     	80.52     	35.59     	31.90     	5.00      
21.00     	79.87     	35.57     	32.00     	5.01      
21.50     	84.05     	38.70     	34.76     	5.01      
