Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	115.38    	50.38     	42.67     	5.13      
0.50      	117.33    	51.10     	43.64     	5.13      
1.00      	118.72    	50.35     	43.38     	5.12      
1.50      	119.95    	49.72     	43.17     	5.09      
2.00      	117.16    	48.73     	42.44     	5.04      
2.50      	114.63    	48.59     	41.99     	5.00      
3.00      	115.44    	49.49     	42.07     	4.94      
3.50      	117.23    	50.54     	42.48     	4.88      
4.00      	116.34    	50.08     	42.29     	4.82      
4.50      	115.71    	49.64     	42.37     	4.76      
5.00      	114.29    	48.52     	41.90     	4.71      
5.50      	113.51    	48.06     	41.90     	4.66      
6.00      	113.57    	48.38     	42.17     	4.63      
6.50      	114.69    	49.52     	42.71     	4.60      
7.00      	115.37    	49.77     	42.57     	4.60      
7.50      	115.68    	49.31     	42.09     	4.60      
8.00      	114.46    	48.15     	41.12     	4.62      
8.50      	112.23    	47.28     	40.41     	4.64      
9.00      	111.09    	47.42     	40.58     	4.67      
9.50      	109.94    	47.18     	40.41     	4.69      
10.00     	110.15    	47.18     	40.28     	4.72      
10.50     	111.44    	47.99     	40.42     	4.74      
11.00     	113.12    	49.63     	41.48     	4.75      
11.50     	112.70    	49.76     	42.20     	4.76      
12.00     	112.04    	49.28     	42.56     	4.76      
12.50     	110.15    	47.84     	41.54     	4.75      
13.00     	109.05    	46.88     	40.64     	4.74      
13.50     	109.96    	46.93     	40.43     	4.73      
14.00     	111.10    	48.08     	40.89     	4.71      
14.50     	109.20    	48.43     	40.66     	4.70      
15.00     	107.23    	48.02     	40.62     	4.68      
15.50     	106.90    	46.97     	40.64     	4.66      
16.00     	107.03    	46.27     	40.22     	4.64      
16.50     	106.41    	45.95     	39.35     	4.62      
17.00     	105.19    	45.69     	38.63     	4.59      
17.50     	105.34    	45.89     	38.71     	4.56      
18.00     	107.00    	46.51     	39.22     	4.52      
18.50     	110.05    	47.41     	39.88     	4.48      
19.00     	112.58    	47.64     	40.07     	4.44      
19.50     	113.53    	47.58     	40.09     	4.41      
20.00     	110.72    	46.38     	39.07     	4.38      
20.50     	108.27    	45.89     	38.51     	4.36      
21.00     	107.72    	46.07     	38.62     	4.36      
21.50     	108.86    	46.77     	39.14     	4.38      
22.00     	109.62    	46.63     	38.88     	4.41      
22.50     	110.63    	46.50     	38.78     	4.47      
23.00     	110.04    	45.84     	38.37     	4.53      
23.50     	108.97    	45.62     	38.22     	4.59      
24.00     	108.65    	45.54     	38.45     	4.64      
24.50     	109.17    	45.29     	38.75     	4.67      
25.00     	110.39    	45.21     	38.55     	4.67      
25.50     	111.30    	45.58     	38.18     	4.64      
26.00     	110.48    	45.45     	37.73     	4.57      
26.50     	108.13    	44.42     	36.82     	4.48      
27.00     	107.86    	44.13     	36.73     	4.37      
27.50     	108.60    	44.46     	37.44     	4.25      
28.00     	109.09    	45.35     	38.64     	4.15      
28.50     	108.53    	45.92     	39.24     	4.06      
29.00     	108.65    	46.30     	39.52     	3.99      
29.50     	108.33    	45.77     	39.28     	3.95      
30.00     	108.76    	45.81     	39.77     	3.93      
30.50     	108.16    	45.43     	39.67     	3.93      
31.00     	107.97    	45.69     	39.71     	3.95      
31.50     	107.48    	45.48     	39.33     	3.99      
32.00     	106.21    	44.62     	38.73     	4.03      
32.50     	106.38    	44.47     	39.11     	4.09      
33.00     	108.03    	45.36     	40.07     	4.16      
33.50     	109.71    	46.51     	40.68     	4.24      
